,index,UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Qualification/Classification marker,Degree classification,Number
20840,75037,10007773.0,The Open University,England,South East,2019/20,First degree classification,First class honours,270
20841,75038,10007773.0,The Open University,England,South East,2019/20,First degree classification,Upper second class honours,595
20842,75039,10007773.0,The Open University,England,South East,2019/20,First degree classification,Lower second class honours,475
20843,75040,10007773.0,The Open University,England,South East,2019/20,First degree classification,Third class honours/Pass,305
20844,75041,10007773.0,The Open University,England,South East,2019/20,First degree classification,Unclassified,75
20845,75055,10007773.0,The Open University,Northern Ireland,Northern Ireland,2019/20,First degree classification,First class honours,15
20846,75056,10007773.0,The Open University,Northern Ireland,Northern Ireland,2019/20,First degree classification,Upper second class honours,25
20847,75057,10007773.0,The Open University,Northern Ireland,Northern Ireland,2019/20,First degree classification,Lower second class honours,30
20848,75058,10007773.0,The Open University,Northern Ireland,Northern Ireland,2019/20,First degree classification,Third class honours/Pass,25
20849,75059,10007773.0,The Open University,Northern Ireland,Northern Ireland,2019/20,First degree classification,Unclassified,0
20850,75073,10007773.0,The Open University,Scotland,Scotland,2019/20,First degree classification,First class honours,40
20851,75074,10007773.0,The Open University,Scotland,Scotland,2019/20,First degree classification,Upper second class honours,80
20852,75075,10007773.0,The Open University,Scotland,Scotland,2019/20,First degree classification,Lower second class honours,65
20853,75076,10007773.0,The Open University,Scotland,Scotland,2019/20,First degree classification,Third class honours/Pass,45
20854,75077,10007773.0,The Open University,Scotland,Scotland,2019/20,First degree classification,Unclassified,15
20855,75091,10007773.0,The Open University,Wales,Wales,2019/20,First degree classification,First class honours,20
20856,75092,10007773.0,The Open University,Wales,Wales,2019/20,First degree classification,Upper second class honours,45
20857,75093,10007773.0,The Open University,Wales,Wales,2019/20,First degree classification,Lower second class honours,45
20858,75094,10007773.0,The Open University,Wales,Wales,2019/20,First degree classification,Third class honours/Pass,25
20859,75095,10007773.0,The Open University,Wales,Wales,2019/20,First degree classification,Unclassified,5
20905,75271,10007773.0,The Open University,England,South East,2018/19,First degree classification,First class honours,1145
20906,75272,10007773.0,The Open University,England,South East,2018/19,First degree classification,Upper second class honours,2540
20907,75273,10007773.0,The Open University,England,South East,2018/19,First degree classification,Lower second class honours,1775
20908,75274,10007773.0,The Open University,England,South East,2018/19,First degree classification,Third class honours/Pass,1045
20909,75275,10007773.0,The Open University,England,South East,2018/19,First degree classification,Unclassified,295
20910,75289,10007773.0,The Open University,Northern Ireland,Northern Ireland,2018/19,First degree classification,First class honours,40
20911,75290,10007773.0,The Open University,Northern Ireland,Northern Ireland,2018/19,First degree classification,Upper second class honours,105
20912,75291,10007773.0,The Open University,Northern Ireland,Northern Ireland,2018/19,First degree classification,Lower second class honours,90
20913,75292,10007773.0,The Open University,Northern Ireland,Northern Ireland,2018/19,First degree classification,Third class honours/Pass,40
20914,75293,10007773.0,The Open University,Northern Ireland,Northern Ireland,2018/19,First degree classification,Unclassified,15
20915,75307,10007773.0,The Open University,Scotland,Scotland,2018/19,First degree classification,First class honours,175
20916,75308,10007773.0,The Open University,Scotland,Scotland,2018/19,First degree classification,Upper second class honours,390
20917,75309,10007773.0,The Open University,Scotland,Scotland,2018/19,First degree classification,Lower second class honours,225
20918,75310,10007773.0,The Open University,Scotland,Scotland,2018/19,First degree classification,Third class honours/Pass,110
20919,75311,10007773.0,The Open University,Scotland,Scotland,2018/19,First degree classification,Unclassified,70
20920,75325,10007773.0,The Open University,Wales,Wales,2018/19,First degree classification,First class honours,80
20921,75326,10007773.0,The Open University,Wales,Wales,2018/19,First degree classification,Upper second class honours,160
20922,75327,10007773.0,The Open University,Wales,Wales,2018/19,First degree classification,Lower second class honours,130
20923,75328,10007773.0,The Open University,Wales,Wales,2018/19,First degree classification,Third class honours/Pass,70
20924,75329,10007773.0,The Open University,Wales,Wales,2018/19,First degree classification,Unclassified,25
20970,75505,10007773.0,The Open University,England,South East,2017/18,First degree classification,First class honours,1090
20971,75506,10007773.0,The Open University,England,South East,2017/18,First degree classification,Upper second class honours,2550
20972,75507,10007773.0,The Open University,England,South East,2017/18,First degree classification,Lower second class honours,2135
20973,75508,10007773.0,The Open University,England,South East,2017/18,First degree classification,Third class honours/Pass,1415
20974,75509,10007773.0,The Open University,England,South East,2017/18,First degree classification,Unclassified,535
20975,75523,10007773.0,The Open University,Northern Ireland,Northern Ireland,2017/18,First degree classification,First class honours,30
20976,75524,10007773.0,The Open University,Northern Ireland,Northern Ireland,2017/18,First degree classification,Upper second class honours,95
20977,75525,10007773.0,The Open University,Northern Ireland,Northern Ireland,2017/18,First degree classification,Lower second class honours,85
20978,75526,10007773.0,The Open University,Northern Ireland,Northern Ireland,2017/18,First degree classification,Third class honours/Pass,45
20979,75527,10007773.0,The Open University,Northern Ireland,Northern Ireland,2017/18,First degree classification,Unclassified,15
20980,75541,10007773.0,The Open University,Scotland,Scotland,2017/18,First degree classification,First class honours,125
20981,75542,10007773.0,The Open University,Scotland,Scotland,2017/18,First degree classification,Upper second class honours,280
20982,75543,10007773.0,The Open University,Scotland,Scotland,2017/18,First degree classification,Lower second class honours,215
20983,75544,10007773.0,The Open University,Scotland,Scotland,2017/18,First degree classification,Third class honours/Pass,120
20984,75545,10007773.0,The Open University,Scotland,Scotland,2017/18,First degree classification,Unclassified,80
20985,75559,10007773.0,The Open University,Wales,Wales,2017/18,First degree classification,First class honours,55
20986,75560,10007773.0,The Open University,Wales,Wales,2017/18,First degree classification,Upper second class honours,130
20987,75561,10007773.0,The Open University,Wales,Wales,2017/18,First degree classification,Lower second class honours,130
20988,75562,10007773.0,The Open University,Wales,Wales,2017/18,First degree classification,Third class honours/Pass,75
20989,75563,10007773.0,The Open University,Wales,Wales,2017/18,First degree classification,Unclassified,40
21035,75739,10007773.0,The Open University,England,South East,2016/17,First degree classification,First class honours,1670
21036,75740,10007773.0,The Open University,England,South East,2016/17,First degree classification,Upper second class honours,3650
21037,75741,10007773.0,The Open University,England,South East,2016/17,First degree classification,Lower second class honours,2900
21038,75742,10007773.0,The Open University,England,South East,2016/17,First degree classification,Third class honours/Pass,1680
21039,75743,10007773.0,The Open University,England,South East,2016/17,First degree classification,Unclassified,820
21040,75757,10007773.0,The Open University,Northern Ireland,Northern Ireland,2016/17,First degree classification,First class honours,40
21041,75758,10007773.0,The Open University,Northern Ireland,Northern Ireland,2016/17,First degree classification,Upper second class honours,115
21042,75759,10007773.0,The Open University,Northern Ireland,Northern Ireland,2016/17,First degree classification,Lower second class honours,75
21043,75760,10007773.0,The Open University,Northern Ireland,Northern Ireland,2016/17,First degree classification,Third class honours/Pass,45
21044,75761,10007773.0,The Open University,Northern Ireland,Northern Ireland,2016/17,First degree classification,Unclassified,25
21045,75775,10007773.0,The Open University,Scotland,Scotland,2016/17,First degree classification,First class honours,135
21046,75776,10007773.0,The Open University,Scotland,Scotland,2016/17,First degree classification,Upper second class honours,330
21047,75777,10007773.0,The Open University,Scotland,Scotland,2016/17,First degree classification,Lower second class honours,240
21048,75778,10007773.0,The Open University,Scotland,Scotland,2016/17,First degree classification,Third class honours/Pass,120
21049,75779,10007773.0,The Open University,Scotland,Scotland,2016/17,First degree classification,Unclassified,95
21050,75793,10007773.0,The Open University,Wales,Wales,2016/17,First degree classification,First class honours,70
21051,75794,10007773.0,The Open University,Wales,Wales,2016/17,First degree classification,Upper second class honours,150
21052,75795,10007773.0,The Open University,Wales,Wales,2016/17,First degree classification,Lower second class honours,130
21053,75796,10007773.0,The Open University,Wales,Wales,2016/17,First degree classification,Third class honours/Pass,70
21054,75797,10007773.0,The Open University,Wales,Wales,2016/17,First degree classification,Unclassified,40
21100,75973,10007773.0,The Open University,England,South East,2015/16,First degree classification,First class honours,1445
21101,75974,10007773.0,The Open University,England,South East,2015/16,First degree classification,Upper second class honours,3380
21102,75975,10007773.0,The Open University,England,South East,2015/16,First degree classification,Lower second class honours,2555
21103,75976,10007773.0,The Open University,England,South East,2015/16,First degree classification,Third class honours/Pass,1340
21104,75977,10007773.0,The Open University,England,South East,2015/16,First degree classification,Unclassified,1010
21105,75991,10007773.0,The Open University,Northern Ireland,Northern Ireland,2015/16,First degree classification,First class honours,35
21106,75992,10007773.0,The Open University,Northern Ireland,Northern Ireland,2015/16,First degree classification,Upper second class honours,90
21107,75993,10007773.0,The Open University,Northern Ireland,Northern Ireland,2015/16,First degree classification,Lower second class honours,50
21108,75994,10007773.0,The Open University,Northern Ireland,Northern Ireland,2015/16,First degree classification,Third class honours/Pass,45
21109,75995,10007773.0,The Open University,Northern Ireland,Northern Ireland,2015/16,First degree classification,Unclassified,35
21110,76009,10007773.0,The Open University,Scotland,Scotland,2015/16,First degree classification,First class honours,120
21111,76010,10007773.0,The Open University,Scotland,Scotland,2015/16,First degree classification,Upper second class honours,295
21112,76011,10007773.0,The Open University,Scotland,Scotland,2015/16,First degree classification,Lower second class honours,230
21113,76012,10007773.0,The Open University,Scotland,Scotland,2015/16,First degree classification,Third class honours/Pass,110
21114,76013,10007773.0,The Open University,Scotland,Scotland,2015/16,First degree classification,Unclassified,105
21115,76027,10007773.0,The Open University,Wales,Wales,2015/16,First degree classification,First class honours,60
21116,76028,10007773.0,The Open University,Wales,Wales,2015/16,First degree classification,Upper second class honours,145
21117,76029,10007773.0,The Open University,Wales,Wales,2015/16,First degree classification,Lower second class honours,120
21118,76030,10007773.0,The Open University,Wales,Wales,2015/16,First degree classification,Third class honours/Pass,65
21119,76031,10007773.0,The Open University,Wales,Wales,2015/16,First degree classification,Unclassified,50
21165,76207,10007773.0,The Open University,England,South East,2014/15,First degree classification,First class honours,1600
21166,76208,10007773.0,The Open University,England,South East,2014/15,First degree classification,Upper second class honours,3555
21167,76209,10007773.0,The Open University,England,South East,2014/15,First degree classification,Lower second class honours,2480
21168,76210,10007773.0,The Open University,England,South East,2014/15,First degree classification,Third class honours/Pass,1310
21169,76211,10007773.0,The Open University,England,South East,2014/15,First degree classification,Unclassified,1225
21170,76225,10007773.0,The Open University,Northern Ireland,Northern Ireland,2014/15,First degree classification,First class honours,35
21171,76226,10007773.0,The Open University,Northern Ireland,Northern Ireland,2014/15,First degree classification,Upper second class honours,105
21172,76227,10007773.0,The Open University,Northern Ireland,Northern Ireland,2014/15,First degree classification,Lower second class honours,95
21173,76228,10007773.0,The Open University,Northern Ireland,Northern Ireland,2014/15,First degree classification,Third class honours/Pass,40
21174,76229,10007773.0,The Open University,Northern Ireland,Northern Ireland,2014/15,First degree classification,Unclassified,25
21175,76243,10007773.0,The Open University,Scotland,Scotland,2014/15,First degree classification,First class honours,120
21176,76244,10007773.0,The Open University,Scotland,Scotland,2014/15,First degree classification,Upper second class honours,265
21177,76245,10007773.0,The Open University,Scotland,Scotland,2014/15,First degree classification,Lower second class honours,185
21178,76246,10007773.0,The Open University,Scotland,Scotland,2014/15,First degree classification,Third class honours/Pass,95
21179,76247,10007773.0,The Open University,Scotland,Scotland,2014/15,First degree classification,Unclassified,145
21180,76261,10007773.0,The Open University,Wales,Wales,2014/15,First degree classification,First class honours,75
21181,76262,10007773.0,The Open University,Wales,Wales,2014/15,First degree classification,Upper second class honours,145
21182,76263,10007773.0,The Open University,Wales,Wales,2014/15,First degree classification,Lower second class honours,125
21183,76264,10007773.0,The Open University,Wales,Wales,2014/15,First degree classification,Third class honours/Pass,70
21184,76265,10007773.0,The Open University,Wales,Wales,2014/15,First degree classification,Unclassified,50
