,Religious belief,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
7260,No religion,Full-time,England,2018/19,First class honours,40135
7261,No religion,Full-time,England,2018/19,Upper second class honours,62760
7262,No religion,Full-time,England,2018/19,Lower second class honours,18770
7263,No religion,Full-time,England,2018/19,Third class honours/Pass,3335
7264,No religion,Full-time,England,2018/19,Unclassified,3465
7265,No religion,Part-time,England,2018/19,First class honours,1895
7266,No religion,Part-time,England,2018/19,Upper second class honours,2655
7267,No religion,Part-time,England,2018/19,Lower second class honours,1650
7268,No religion,Part-time,England,2018/19,Third class honours/Pass,860
7269,No religion,Part-time,England,2018/19,Unclassified,245
7270,No religion,Full-time,Northern Ireland,2018/19,First class honours,495
7271,No religion,Full-time,Northern Ireland,2018/19,Upper second class honours,785
7272,No religion,Full-time,Northern Ireland,2018/19,Lower second class honours,235
7273,No religion,Full-time,Northern Ireland,2018/19,Third class honours/Pass,35
7274,No religion,Full-time,Northern Ireland,2018/19,Unclassified,55
7275,No religion,Part-time,Northern Ireland,2018/19,First class honours,45
7276,No religion,Part-time,Northern Ireland,2018/19,Upper second class honours,85
7277,No religion,Part-time,Northern Ireland,2018/19,Lower second class honours,40
7278,No religion,Part-time,Northern Ireland,2018/19,Third class honours/Pass,5
7279,No religion,Part-time,Northern Ireland,2018/19,Unclassified,5
7280,No religion,Full-time,Scotland,2018/19,First class honours,3525
7281,No religion,Full-time,Scotland,2018/19,Upper second class honours,6655
7282,No religion,Full-time,Scotland,2018/19,Lower second class honours,1905
7283,No religion,Full-time,Scotland,2018/19,Third class honours/Pass,330
7284,No religion,Full-time,Scotland,2018/19,Unclassified,4080
7285,No religion,Part-time,Scotland,2018/19,First class honours,135
7286,No religion,Part-time,Scotland,2018/19,Upper second class honours,240
7287,No religion,Part-time,Scotland,2018/19,Lower second class honours,120
7288,No religion,Part-time,Scotland,2018/19,Third class honours/Pass,55
7289,No religion,Part-time,Scotland,2018/19,Unclassified,635
7290,No religion,Full-time,Wales,2018/19,First class honours,2930
7291,No religion,Full-time,Wales,2018/19,Upper second class honours,4995
7292,No religion,Full-time,Wales,2018/19,Lower second class honours,1850
7293,No religion,Full-time,Wales,2018/19,Third class honours/Pass,270
7294,No religion,Full-time,Wales,2018/19,Unclassified,215
7295,No religion,Part-time,Wales,2018/19,First class honours,135
7296,No religion,Part-time,Wales,2018/19,Upper second class honours,150
7297,No religion,Part-time,Wales,2018/19,Lower second class honours,90
7298,No religion,Part-time,Wales,2018/19,Third class honours/Pass,40
7299,No religion,Part-time,Wales,2018/19,Unclassified,10
7300,No religion,Full-time,England,2019/20,First class honours,49120
7301,No religion,Full-time,England,2019/20,Upper second class honours,59790
7302,No religion,Full-time,England,2019/20,Lower second class honours,14540
7303,No religion,Full-time,England,2019/20,Third class honours/Pass,2135
7304,No religion,Full-time,England,2019/20,Unclassified,3600
7305,No religion,Part-time,England,2019/20,First class honours,1840
7306,No religion,Part-time,England,2019/20,Upper second class honours,2120
7307,No religion,Part-time,England,2019/20,Lower second class honours,1155
7308,No religion,Part-time,England,2019/20,Third class honours/Pass,565
7309,No religion,Part-time,England,2019/20,Unclassified,175
7310,No religion,Full-time,Northern Ireland,2019/20,First class honours,510
7311,No religion,Full-time,Northern Ireland,2019/20,Upper second class honours,800
7312,No religion,Full-time,Northern Ireland,2019/20,Lower second class honours,170
7313,No religion,Full-time,Northern Ireland,2019/20,Third class honours/Pass,10
7314,No religion,Full-time,Northern Ireland,2019/20,Unclassified,60
7315,No religion,Part-time,Northern Ireland,2019/20,First class honours,55
7316,No religion,Part-time,Northern Ireland,2019/20,Upper second class honours,65
7317,No religion,Part-time,Northern Ireland,2019/20,Lower second class honours,25
7318,No religion,Part-time,Northern Ireland,2019/20,Third class honours/Pass,15
7319,No religion,Part-time,Northern Ireland,2019/20,Unclassified,0
7320,No religion,Full-time,Scotland,2019/20,First class honours,4600
7321,No religion,Full-time,Scotland,2019/20,Upper second class honours,6675
7322,No religion,Full-time,Scotland,2019/20,Lower second class honours,1490
7323,No religion,Full-time,Scotland,2019/20,Third class honours/Pass,235
7324,No religion,Full-time,Scotland,2019/20,Unclassified,3530
7325,No religion,Part-time,Scotland,2019/20,First class honours,85
7326,No religion,Part-time,Scotland,2019/20,Upper second class honours,125
7327,No religion,Part-time,Scotland,2019/20,Lower second class honours,70
7328,No religion,Part-time,Scotland,2019/20,Third class honours/Pass,30
7329,No religion,Part-time,Scotland,2019/20,Unclassified,505
7330,No religion,Full-time,Wales,2019/20,First class honours,3865
7331,No religion,Full-time,Wales,2019/20,Upper second class honours,4915
7332,No religion,Full-time,Wales,2019/20,Lower second class honours,1595
7333,No religion,Full-time,Wales,2019/20,Third class honours/Pass,230
7334,No religion,Full-time,Wales,2019/20,Unclassified,185
7335,No religion,Part-time,Wales,2019/20,First class honours,130
7336,No religion,Part-time,Wales,2019/20,Upper second class honours,130
7337,No religion,Part-time,Wales,2019/20,Lower second class honours,65
7338,No religion,Part-time,Wales,2019/20,Third class honours/Pass,30
7339,No religion,Part-time,Wales,2019/20,Unclassified,10
7340,No religion,All,England,2018/19,First class honours,42035
7341,No religion,All,England,2018/19,Upper second class honours,65415
7342,No religion,All,England,2018/19,Lower second class honours,20425
7343,No religion,All,England,2018/19,Third class honours/Pass,4195
7344,No religion,All,England,2018/19,Unclassified,3710
7345,No religion,All,Northern Ireland,2018/19,First class honours,540
7346,No religion,All,Northern Ireland,2018/19,Upper second class honours,870
7347,No religion,All,Northern Ireland,2018/19,Lower second class honours,270
7348,No religion,All,Northern Ireland,2018/19,Third class honours/Pass,40
7349,No religion,All,Northern Ireland,2018/19,Unclassified,60
7350,No religion,All,Scotland,2018/19,First class honours,3655
7351,No religion,All,Scotland,2018/19,Upper second class honours,6900
7352,No religion,All,Scotland,2018/19,Lower second class honours,2025
7353,No religion,All,Scotland,2018/19,Third class honours/Pass,390
7354,No religion,All,Scotland,2018/19,Unclassified,4715
7355,No religion,All,Wales,2018/19,First class honours,3065
7356,No religion,All,Wales,2018/19,Upper second class honours,5145
7357,No religion,All,Wales,2018/19,Lower second class honours,1940
7358,No religion,All,Wales,2018/19,Third class honours/Pass,310
7359,No religion,All,Wales,2018/19,Unclassified,225
7360,No religion,All,England,2019/20,First class honours,50960
7361,No religion,All,England,2019/20,Upper second class honours,61910
7362,No religion,All,England,2019/20,Lower second class honours,15695
7363,No religion,All,England,2019/20,Third class honours/Pass,2700
7364,No religion,All,England,2019/20,Unclassified,3775
7365,No religion,All,Northern Ireland,2019/20,First class honours,565
7366,No religion,All,Northern Ireland,2019/20,Upper second class honours,860
7367,No religion,All,Northern Ireland,2019/20,Lower second class honours,190
7368,No religion,All,Northern Ireland,2019/20,Third class honours/Pass,25
7369,No religion,All,Northern Ireland,2019/20,Unclassified,60
7370,No religion,All,Scotland,2019/20,First class honours,4685
7371,No religion,All,Scotland,2019/20,Upper second class honours,6800
7372,No religion,All,Scotland,2019/20,Lower second class honours,1560
7373,No religion,All,Scotland,2019/20,Third class honours/Pass,265
7374,No religion,All,Scotland,2019/20,Unclassified,4040
7375,No religion,All,Wales,2019/20,First class honours,3995
7376,No religion,All,Wales,2019/20,Upper second class honours,5045
7377,No religion,All,Wales,2019/20,Lower second class honours,1660
7378,No religion,All,Wales,2019/20,Third class honours/Pass,260
7379,No religion,All,Wales,2019/20,Unclassified,195
7380,No religion,All,All,2018/19,First class honours,49295
7381,No religion,All,All,2018/19,Upper second class honours,78325
7382,No religion,All,All,2018/19,Lower second class honours,24660
7383,No religion,All,All,2018/19,Third class honours/Pass,4930
7384,No religion,All,All,2018/19,Unclassified,8705
7385,No religion,All,All,2019/20,First class honours,60205
7386,No religion,All,All,2019/20,Upper second class honours,74615
7387,No religion,All,All,2019/20,Lower second class honours,19105
7388,No religion,All,All,2019/20,Third class honours/Pass,3250
7389,No religion,All,All,2019/20,Unclassified,8070
7390,No religion,Full-time,All,2018/19,First class honours,47085
7391,No religion,Full-time,All,2018/19,Upper second class honours,75195
7392,No religion,Full-time,All,2018/19,Lower second class honours,22760
7393,No religion,Full-time,All,2018/19,Third class honours/Pass,3970
7394,No religion,Full-time,All,2018/19,Unclassified,7810
7395,No religion,Full-time,All,2019/20,First class honours,58095
7396,No religion,Full-time,All,2019/20,Upper second class honours,72175
7397,No religion,Full-time,All,2019/20,Lower second class honours,17795
7398,No religion,Full-time,All,2019/20,Third class honours/Pass,2610
7399,No religion,Full-time,All,2019/20,Unclassified,7385
7400,No religion,Part-time,All,2018/19,First class honours,2210
7401,No religion,Part-time,All,2018/19,Upper second class honours,3130
7402,No religion,Part-time,All,2018/19,Lower second class honours,1900
7403,No religion,Part-time,All,2018/19,Third class honours/Pass,960
7404,No religion,Part-time,All,2018/19,Unclassified,895
7405,No religion,Part-time,All,2019/20,First class honours,2105
7406,No religion,Part-time,All,2019/20,Upper second class honours,2440
7407,No religion,Part-time,All,2019/20,Lower second class honours,1310
7408,No religion,Part-time,All,2019/20,Third class honours/Pass,640
7409,No religion,Part-time,All,2019/20,Unclassified,690
7410,Buddhist,Full-time,England,2018/19,First class honours,300
7411,Buddhist,Full-time,England,2018/19,Upper second class honours,550
7412,Buddhist,Full-time,England,2018/19,Lower second class honours,275
7413,Buddhist,Full-time,England,2018/19,Third class honours/Pass,45
7414,Buddhist,Full-time,England,2018/19,Unclassified,45
7415,Buddhist,Part-time,England,2018/19,First class honours,10
7416,Buddhist,Part-time,England,2018/19,Upper second class honours,25
7417,Buddhist,Part-time,England,2018/19,Lower second class honours,35
7418,Buddhist,Part-time,England,2018/19,Third class honours/Pass,25
7419,Buddhist,Part-time,England,2018/19,Unclassified,5
7420,Buddhist,Full-time,Northern Ireland,2018/19,First class honours,0
7421,Buddhist,Full-time,Northern Ireland,2018/19,Upper second class honours,5
7422,Buddhist,Full-time,Northern Ireland,2018/19,Lower second class honours,0
7423,Buddhist,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
7424,Buddhist,Full-time,Northern Ireland,2018/19,Unclassified,0
7425,Buddhist,Part-time,Northern Ireland,2018/19,First class honours,0
7426,Buddhist,Part-time,Northern Ireland,2018/19,Upper second class honours,0
7427,Buddhist,Part-time,Northern Ireland,2018/19,Lower second class honours,0
7428,Buddhist,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
7429,Buddhist,Part-time,Northern Ireland,2018/19,Unclassified,0
7430,Buddhist,Full-time,Scotland,2018/19,First class honours,10
7431,Buddhist,Full-time,Scotland,2018/19,Upper second class honours,35
7432,Buddhist,Full-time,Scotland,2018/19,Lower second class honours,10
7433,Buddhist,Full-time,Scotland,2018/19,Third class honours/Pass,0
7434,Buddhist,Full-time,Scotland,2018/19,Unclassified,20
7435,Buddhist,Part-time,Scotland,2018/19,First class honours,0
7436,Buddhist,Part-time,Scotland,2018/19,Upper second class honours,0
7437,Buddhist,Part-time,Scotland,2018/19,Lower second class honours,0
7438,Buddhist,Part-time,Scotland,2018/19,Third class honours/Pass,0
7439,Buddhist,Part-time,Scotland,2018/19,Unclassified,5
7440,Buddhist,Full-time,Wales,2018/19,First class honours,10
7441,Buddhist,Full-time,Wales,2018/19,Upper second class honours,25
7442,Buddhist,Full-time,Wales,2018/19,Lower second class honours,15
7443,Buddhist,Full-time,Wales,2018/19,Third class honours/Pass,5
7444,Buddhist,Full-time,Wales,2018/19,Unclassified,0
7445,Buddhist,Part-time,Wales,2018/19,First class honours,0
7446,Buddhist,Part-time,Wales,2018/19,Upper second class honours,5
7447,Buddhist,Part-time,Wales,2018/19,Lower second class honours,0
7448,Buddhist,Part-time,Wales,2018/19,Third class honours/Pass,0
7449,Buddhist,Part-time,Wales,2018/19,Unclassified,0
7450,Buddhist,Full-time,England,2019/20,First class honours,375
7451,Buddhist,Full-time,England,2019/20,Upper second class honours,565
7452,Buddhist,Full-time,England,2019/20,Lower second class honours,205
7453,Buddhist,Full-time,England,2019/20,Third class honours/Pass,35
7454,Buddhist,Full-time,England,2019/20,Unclassified,55
7455,Buddhist,Part-time,England,2019/20,First class honours,20
7456,Buddhist,Part-time,England,2019/20,Upper second class honours,30
7457,Buddhist,Part-time,England,2019/20,Lower second class honours,20
7458,Buddhist,Part-time,England,2019/20,Third class honours/Pass,15
7459,Buddhist,Part-time,England,2019/20,Unclassified,0
7460,Buddhist,Full-time,Northern Ireland,2019/20,First class honours,0
7461,Buddhist,Full-time,Northern Ireland,2019/20,Upper second class honours,5
7462,Buddhist,Full-time,Northern Ireland,2019/20,Lower second class honours,0
7463,Buddhist,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
7464,Buddhist,Full-time,Northern Ireland,2019/20,Unclassified,0
7465,Buddhist,Part-time,Northern Ireland,2019/20,First class honours,0
7466,Buddhist,Part-time,Northern Ireland,2019/20,Upper second class honours,0
7467,Buddhist,Part-time,Northern Ireland,2019/20,Lower second class honours,0
7468,Buddhist,Part-time,Northern Ireland,2019/20,Third class honours/Pass,0
7469,Buddhist,Part-time,Northern Ireland,2019/20,Unclassified,0
7470,Buddhist,Full-time,Scotland,2019/20,First class honours,25
7471,Buddhist,Full-time,Scotland,2019/20,Upper second class honours,40
7472,Buddhist,Full-time,Scotland,2019/20,Lower second class honours,0
7473,Buddhist,Full-time,Scotland,2019/20,Third class honours/Pass,5
7474,Buddhist,Full-time,Scotland,2019/20,Unclassified,20
7475,Buddhist,Part-time,Scotland,2019/20,First class honours,0
7476,Buddhist,Part-time,Scotland,2019/20,Upper second class honours,0
7477,Buddhist,Part-time,Scotland,2019/20,Lower second class honours,0
7478,Buddhist,Part-time,Scotland,2019/20,Third class honours/Pass,0
7479,Buddhist,Part-time,Scotland,2019/20,Unclassified,5
7480,Buddhist,Full-time,Wales,2019/20,First class honours,20
7481,Buddhist,Full-time,Wales,2019/20,Upper second class honours,20
7482,Buddhist,Full-time,Wales,2019/20,Lower second class honours,15
7483,Buddhist,Full-time,Wales,2019/20,Third class honours/Pass,5
7484,Buddhist,Full-time,Wales,2019/20,Unclassified,0
7485,Buddhist,Part-time,Wales,2019/20,First class honours,0
7486,Buddhist,Part-time,Wales,2019/20,Upper second class honours,0
7487,Buddhist,Part-time,Wales,2019/20,Lower second class honours,0
7488,Buddhist,Part-time,Wales,2019/20,Third class honours/Pass,0
7489,Buddhist,Part-time,Wales,2019/20,Unclassified,0
7490,Buddhist,All,England,2018/19,First class honours,310
7491,Buddhist,All,England,2018/19,Upper second class honours,575
7492,Buddhist,All,England,2018/19,Lower second class honours,310
7493,Buddhist,All,England,2018/19,Third class honours/Pass,70
7494,Buddhist,All,England,2018/19,Unclassified,50
7495,Buddhist,All,Northern Ireland,2018/19,First class honours,0
7496,Buddhist,All,Northern Ireland,2018/19,Upper second class honours,5
7497,Buddhist,All,Northern Ireland,2018/19,Lower second class honours,0
7498,Buddhist,All,Northern Ireland,2018/19,Third class honours/Pass,0
7499,Buddhist,All,Northern Ireland,2018/19,Unclassified,0
7500,Buddhist,All,Scotland,2018/19,First class honours,10
7501,Buddhist,All,Scotland,2018/19,Upper second class honours,35
7502,Buddhist,All,Scotland,2018/19,Lower second class honours,10
7503,Buddhist,All,Scotland,2018/19,Third class honours/Pass,0
7504,Buddhist,All,Scotland,2018/19,Unclassified,25
7505,Buddhist,All,Wales,2018/19,First class honours,10
7506,Buddhist,All,Wales,2018/19,Upper second class honours,30
7507,Buddhist,All,Wales,2018/19,Lower second class honours,15
7508,Buddhist,All,Wales,2018/19,Third class honours/Pass,5
7509,Buddhist,All,Wales,2018/19,Unclassified,0
7510,Buddhist,All,England,2019/20,First class honours,395
7511,Buddhist,All,England,2019/20,Upper second class honours,590
7512,Buddhist,All,England,2019/20,Lower second class honours,230
7513,Buddhist,All,England,2019/20,Third class honours/Pass,50
7514,Buddhist,All,England,2019/20,Unclassified,60
7515,Buddhist,All,Northern Ireland,2019/20,First class honours,5
7516,Buddhist,All,Northern Ireland,2019/20,Upper second class honours,5
7517,Buddhist,All,Northern Ireland,2019/20,Lower second class honours,0
7518,Buddhist,All,Northern Ireland,2019/20,Third class honours/Pass,0
7519,Buddhist,All,Northern Ireland,2019/20,Unclassified,0
7520,Buddhist,All,Scotland,2019/20,First class honours,30
7521,Buddhist,All,Scotland,2019/20,Upper second class honours,40
7522,Buddhist,All,Scotland,2019/20,Lower second class honours,0
7523,Buddhist,All,Scotland,2019/20,Third class honours/Pass,5
7524,Buddhist,All,Scotland,2019/20,Unclassified,20
7525,Buddhist,All,Wales,2019/20,First class honours,20
7526,Buddhist,All,Wales,2019/20,Upper second class honours,20
7527,Buddhist,All,Wales,2019/20,Lower second class honours,15
7528,Buddhist,All,Wales,2019/20,Third class honours/Pass,5
7529,Buddhist,All,Wales,2019/20,Unclassified,0
7530,Buddhist,All,All,2018/19,First class honours,335
7531,Buddhist,All,All,2018/19,Upper second class honours,645
7532,Buddhist,All,All,2018/19,Lower second class honours,340
7533,Buddhist,All,All,2018/19,Third class honours/Pass,75
7534,Buddhist,All,All,2018/19,Unclassified,75
7535,Buddhist,All,All,2019/20,First class honours,445
7536,Buddhist,All,All,2019/20,Upper second class honours,660
7537,Buddhist,All,All,2019/20,Lower second class honours,245
7538,Buddhist,All,All,2019/20,Third class honours/Pass,60
7539,Buddhist,All,All,2019/20,Unclassified,80
7540,Buddhist,Full-time,All,2018/19,First class honours,325
7541,Buddhist,Full-time,All,2018/19,Upper second class honours,615
7542,Buddhist,Full-time,All,2018/19,Lower second class honours,305
7543,Buddhist,Full-time,All,2018/19,Third class honours/Pass,50
7544,Buddhist,Full-time,All,2018/19,Unclassified,60
7545,Buddhist,Full-time,All,2019/20,First class honours,425
7546,Buddhist,Full-time,All,2019/20,Upper second class honours,630
7547,Buddhist,Full-time,All,2019/20,Lower second class honours,225
7548,Buddhist,Full-time,All,2019/20,Third class honours/Pass,40
7549,Buddhist,Full-time,All,2019/20,Unclassified,75
7550,Buddhist,Part-time,All,2018/19,First class honours,10
7551,Buddhist,Part-time,All,2018/19,Upper second class honours,35
7552,Buddhist,Part-time,All,2018/19,Lower second class honours,35
7553,Buddhist,Part-time,All,2018/19,Third class honours/Pass,25
7554,Buddhist,Part-time,All,2018/19,Unclassified,10
7555,Buddhist,Part-time,All,2019/20,First class honours,20
7556,Buddhist,Part-time,All,2019/20,Upper second class honours,30
7557,Buddhist,Part-time,All,2019/20,Lower second class honours,20
7558,Buddhist,Part-time,All,2019/20,Third class honours/Pass,20
7559,Buddhist,Part-time,All,2019/20,Unclassified,5
7560,Christian,Full-time,England,2018/19,First class honours,21530
7561,Christian,Full-time,England,2018/19,Upper second class honours,38275
7562,Christian,Full-time,England,2018/19,Lower second class honours,14750
7563,Christian,Full-time,England,2018/19,Third class honours/Pass,2885
7564,Christian,Full-time,England,2018/19,Unclassified,2000
7565,Christian,Part-time,England,2018/19,First class honours,1330
7566,Christian,Part-time,England,2018/19,Upper second class honours,2310
7567,Christian,Part-time,England,2018/19,Lower second class honours,1740
7568,Christian,Part-time,England,2018/19,Third class honours/Pass,1105
7569,Christian,Part-time,England,2018/19,Unclassified,275
7570,Christian,Full-time,Northern Ireland,2018/19,First class honours,1445
7571,Christian,Full-time,Northern Ireland,2018/19,Upper second class honours,3015
7572,Christian,Full-time,Northern Ireland,2018/19,Lower second class honours,890
7573,Christian,Full-time,Northern Ireland,2018/19,Third class honours/Pass,75
7574,Christian,Full-time,Northern Ireland,2018/19,Unclassified,160
7575,Christian,Part-time,Northern Ireland,2018/19,First class honours,130
7576,Christian,Part-time,Northern Ireland,2018/19,Upper second class honours,245
7577,Christian,Part-time,Northern Ireland,2018/19,Lower second class honours,120
7578,Christian,Part-time,Northern Ireland,2018/19,Third class honours/Pass,25
7579,Christian,Part-time,Northern Ireland,2018/19,Unclassified,5
7580,Christian,Full-time,Scotland,2018/19,First class honours,1575
7581,Christian,Full-time,Scotland,2018/19,Upper second class honours,3500
7582,Christian,Full-time,Scotland,2018/19,Lower second class honours,1100
7583,Christian,Full-time,Scotland,2018/19,Third class honours/Pass,130
7584,Christian,Full-time,Scotland,2018/19,Unclassified,2455
7585,Christian,Part-time,Scotland,2018/19,First class honours,70
7586,Christian,Part-time,Scotland,2018/19,Upper second class honours,135
7587,Christian,Part-time,Scotland,2018/19,Lower second class honours,90
7588,Christian,Part-time,Scotland,2018/19,Third class honours/Pass,50
7589,Christian,Part-time,Scotland,2018/19,Unclassified,505
7590,Christian,Full-time,Wales,2018/19,First class honours,1360
7591,Christian,Full-time,Wales,2018/19,Upper second class honours,2205
7592,Christian,Full-time,Wales,2018/19,Lower second class honours,865
7593,Christian,Full-time,Wales,2018/19,Third class honours/Pass,135
7594,Christian,Full-time,Wales,2018/19,Unclassified,105
7595,Christian,Part-time,Wales,2018/19,First class honours,95
7596,Christian,Part-time,Wales,2018/19,Upper second class honours,115
7597,Christian,Part-time,Wales,2018/19,Lower second class honours,80
7598,Christian,Part-time,Wales,2018/19,Third class honours/Pass,25
7599,Christian,Part-time,Wales,2018/19,Unclassified,20
7600,Christian,Full-time,England,2019/20,First class honours,25455
7601,Christian,Full-time,England,2019/20,Upper second class honours,36725
7602,Christian,Full-time,England,2019/20,Lower second class honours,11870
7603,Christian,Full-time,England,2019/20,Third class honours/Pass,2045
7604,Christian,Full-time,England,2019/20,Unclassified,2250
7605,Christian,Part-time,England,2019/20,First class honours,1240
7606,Christian,Part-time,England,2019/20,Upper second class honours,1680
7607,Christian,Part-time,England,2019/20,Lower second class honours,1335
7608,Christian,Part-time,England,2019/20,Third class honours/Pass,770
7609,Christian,Part-time,England,2019/20,Unclassified,200
7610,Christian,Full-time,Northern Ireland,2019/20,First class honours,1815
7611,Christian,Full-time,Northern Ireland,2019/20,Upper second class honours,3105
7612,Christian,Full-time,Northern Ireland,2019/20,Lower second class honours,735
7613,Christian,Full-time,Northern Ireland,2019/20,Third class honours/Pass,50
7614,Christian,Full-time,Northern Ireland,2019/20,Unclassified,145
7615,Christian,Part-time,Northern Ireland,2019/20,First class honours,115
7616,Christian,Part-time,Northern Ireland,2019/20,Upper second class honours,195
7617,Christian,Part-time,Northern Ireland,2019/20,Lower second class honours,115
7618,Christian,Part-time,Northern Ireland,2019/20,Third class honours/Pass,20
7619,Christian,Part-time,Northern Ireland,2019/20,Unclassified,0
