,Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
0,Sex,Female,Full-time,England,2014/15,First class honours,31210
1,Sex,Female,Full-time,England,2014/15,Upper second class honours,73215
2,Sex,Female,Full-time,England,2014/15,Lower second class honours,26570
3,Sex,Female,Full-time,England,2014/15,Third class honours/Pass,4620
4,Sex,Female,Full-time,England,2014/15,Unclassified,4825
5,Sex,Female,Part-time,England,2014/15,First class honours,2695
6,Sex,Female,Part-time,England,2014/15,Upper second class honours,6230
7,Sex,Female,Part-time,England,2014/15,Lower second class honours,4950
8,Sex,Female,Part-time,England,2014/15,Third class honours/Pass,2610
9,Sex,Female,Part-time,England,2014/15,Unclassified,1330
10,Sex,Female,Full-time,Northern Ireland,2014/15,First class honours,885
11,Sex,Female,Full-time,Northern Ireland,2014/15,Upper second class honours,2380
12,Sex,Female,Full-time,Northern Ireland,2014/15,Lower second class honours,840
13,Sex,Female,Full-time,Northern Ireland,2014/15,Third class honours/Pass,95
14,Sex,Female,Full-time,Northern Ireland,2014/15,Unclassified,150
15,Sex,Female,Part-time,Northern Ireland,2014/15,First class honours,55
16,Sex,Female,Part-time,Northern Ireland,2014/15,Upper second class honours,220
17,Sex,Female,Part-time,Northern Ireland,2014/15,Lower second class honours,170
18,Sex,Female,Part-time,Northern Ireland,2014/15,Third class honours/Pass,35
19,Sex,Female,Part-time,Northern Ireland,2014/15,Unclassified,15
20,Sex,Female,Full-time,Scotland,2014/15,First class honours,2395
21,Sex,Female,Full-time,Scotland,2014/15,Upper second class honours,6385
22,Sex,Female,Full-time,Scotland,2014/15,Lower second class honours,2070
23,Sex,Female,Full-time,Scotland,2014/15,Third class honours/Pass,260
24,Sex,Female,Full-time,Scotland,2014/15,Unclassified,4705
25,Sex,Female,Part-time,Scotland,2014/15,First class honours,105
26,Sex,Female,Part-time,Scotland,2014/15,Upper second class honours,230
27,Sex,Female,Part-time,Scotland,2014/15,Lower second class honours,170
28,Sex,Female,Part-time,Scotland,2014/15,Third class honours/Pass,85
29,Sex,Female,Part-time,Scotland,2014/15,Unclassified,1225
30,Sex,Female,Full-time,Wales,2014/15,First class honours,2030
31,Sex,Female,Full-time,Wales,2014/15,Upper second class honours,4830
32,Sex,Female,Full-time,Wales,2014/15,Lower second class honours,2180
33,Sex,Female,Full-time,Wales,2014/15,Third class honours/Pass,350
34,Sex,Female,Full-time,Wales,2014/15,Unclassified,290
35,Sex,Female,Part-time,Wales,2014/15,First class honours,140
36,Sex,Female,Part-time,Wales,2014/15,Upper second class honours,265
37,Sex,Female,Part-time,Wales,2014/15,Lower second class honours,230
38,Sex,Female,Part-time,Wales,2014/15,Third class honours/Pass,100
39,Sex,Female,Part-time,Wales,2014/15,Unclassified,75
40,Sex,Female,Full-time,England,2015/16,First class honours,34940
41,Sex,Female,Full-time,England,2015/16,Upper second class honours,75170
42,Sex,Female,Full-time,England,2015/16,Lower second class honours,26535
43,Sex,Female,Full-time,England,2015/16,Third class honours/Pass,4680
44,Sex,Female,Full-time,England,2015/16,Unclassified,4855
45,Sex,Female,Part-time,England,2015/16,First class honours,2450
46,Sex,Female,Part-time,England,2015/16,Upper second class honours,5440
47,Sex,Female,Part-time,England,2015/16,Lower second class honours,4465
48,Sex,Female,Part-time,England,2015/16,Third class honours/Pass,2465
49,Sex,Female,Part-time,England,2015/16,Unclassified,1145
50,Sex,Female,Full-time,Northern Ireland,2015/16,First class honours,1065
51,Sex,Female,Full-time,Northern Ireland,2015/16,Upper second class honours,2490
52,Sex,Female,Full-time,Northern Ireland,2015/16,Lower second class honours,815
53,Sex,Female,Full-time,Northern Ireland,2015/16,Third class honours/Pass,80
54,Sex,Female,Full-time,Northern Ireland,2015/16,Unclassified,155
55,Sex,Female,Part-time,Northern Ireland,2015/16,First class honours,65
56,Sex,Female,Part-time,Northern Ireland,2015/16,Upper second class honours,220
57,Sex,Female,Part-time,Northern Ireland,2015/16,Lower second class honours,115
58,Sex,Female,Part-time,Northern Ireland,2015/16,Third class honours/Pass,40
59,Sex,Female,Part-time,Northern Ireland,2015/16,Unclassified,20
60,Sex,Female,Full-time,Scotland,2015/16,First class honours,2750
61,Sex,Female,Full-time,Scotland,2015/16,Upper second class honours,6775
62,Sex,Female,Full-time,Scotland,2015/16,Lower second class honours,2015
63,Sex,Female,Full-time,Scotland,2015/16,Third class honours/Pass,260
64,Sex,Female,Full-time,Scotland,2015/16,Unclassified,4670
65,Sex,Female,Part-time,Scotland,2015/16,First class honours,105
66,Sex,Female,Part-time,Scotland,2015/16,Upper second class honours,255
67,Sex,Female,Part-time,Scotland,2015/16,Lower second class honours,185
68,Sex,Female,Part-time,Scotland,2015/16,Third class honours/Pass,100
69,Sex,Female,Part-time,Scotland,2015/16,Unclassified,910
70,Sex,Female,Full-time,Wales,2015/16,First class honours,2220
71,Sex,Female,Full-time,Wales,2015/16,Upper second class honours,4765
72,Sex,Female,Full-time,Wales,2015/16,Lower second class honours,1875
73,Sex,Female,Full-time,Wales,2015/16,Third class honours/Pass,285
74,Sex,Female,Full-time,Wales,2015/16,Unclassified,235
75,Sex,Female,Part-time,Wales,2015/16,First class honours,115
76,Sex,Female,Part-time,Wales,2015/16,Upper second class honours,220
77,Sex,Female,Part-time,Wales,2015/16,Lower second class honours,145
78,Sex,Female,Part-time,Wales,2015/16,Third class honours/Pass,60
79,Sex,Female,Part-time,Wales,2015/16,Unclassified,60
80,Sex,Female,Full-time,England,2016/17,First class honours,40380
81,Sex,Female,Full-time,England,2016/17,Upper second class honours,76770
82,Sex,Female,Full-time,England,2016/17,Lower second class honours,25590
83,Sex,Female,Full-time,England,2016/17,Third class honours/Pass,4975
84,Sex,Female,Full-time,England,2016/17,Unclassified,4515
85,Sex,Female,Part-time,England,2016/17,First class honours,2535
86,Sex,Female,Part-time,England,2016/17,Upper second class honours,5185
87,Sex,Female,Part-time,England,2016/17,Lower second class honours,4260
88,Sex,Female,Part-time,England,2016/17,Third class honours/Pass,2440
89,Sex,Female,Part-time,England,2016/17,Unclassified,1030
90,Sex,Female,Full-time,Northern Ireland,2016/17,First class honours,1110
91,Sex,Female,Full-time,Northern Ireland,2016/17,Upper second class honours,2530
92,Sex,Female,Full-time,Northern Ireland,2016/17,Lower second class honours,810
93,Sex,Female,Full-time,Northern Ireland,2016/17,Third class honours/Pass,55
94,Sex,Female,Full-time,Northern Ireland,2016/17,Unclassified,150
95,Sex,Female,Part-time,Northern Ireland,2016/17,First class honours,60
96,Sex,Female,Part-time,Northern Ireland,2016/17,Upper second class honours,215
97,Sex,Female,Part-time,Northern Ireland,2016/17,Lower second class honours,125
98,Sex,Female,Part-time,Northern Ireland,2016/17,Third class honours/Pass,40
99,Sex,Female,Part-time,Northern Ireland,2016/17,Unclassified,15
100,Sex,Female,Full-time,Scotland,2016/17,First class honours,2865
101,Sex,Female,Full-time,Scotland,2016/17,Upper second class honours,6960
102,Sex,Female,Full-time,Scotland,2016/17,Lower second class honours,1885
103,Sex,Female,Full-time,Scotland,2016/17,Third class honours/Pass,300
104,Sex,Female,Full-time,Scotland,2016/17,Unclassified,4830
105,Sex,Female,Part-time,Scotland,2016/17,First class honours,115
106,Sex,Female,Part-time,Scotland,2016/17,Upper second class honours,285
107,Sex,Female,Part-time,Scotland,2016/17,Lower second class honours,210
108,Sex,Female,Part-time,Scotland,2016/17,Third class honours/Pass,100
109,Sex,Female,Part-time,Scotland,2016/17,Unclassified,820
110,Sex,Female,Full-time,Wales,2016/17,First class honours,2605
111,Sex,Female,Full-time,Wales,2016/17,Upper second class honours,4885
112,Sex,Female,Full-time,Wales,2016/17,Lower second class honours,1815
113,Sex,Female,Full-time,Wales,2016/17,Third class honours/Pass,300
114,Sex,Female,Full-time,Wales,2016/17,Unclassified,275
115,Sex,Female,Part-time,Wales,2016/17,First class honours,120
116,Sex,Female,Part-time,Wales,2016/17,Upper second class honours,215
117,Sex,Female,Part-time,Wales,2016/17,Lower second class honours,150
118,Sex,Female,Part-time,Wales,2016/17,Third class honours/Pass,65
119,Sex,Female,Part-time,Wales,2016/17,Unclassified,45
120,Sex,Female,Full-time,England,2017/18,First class honours,45115
121,Sex,Female,Full-time,England,2017/18,Upper second class honours,77775
122,Sex,Female,Full-time,England,2017/18,Lower second class honours,25260
123,Sex,Female,Full-time,England,2017/18,Third class honours/Pass,4690
124,Sex,Female,Full-time,England,2017/18,Unclassified,4590
125,Sex,Female,Part-time,England,2017/18,First class honours,2200
126,Sex,Female,Part-time,England,2017/18,Upper second class honours,4155
127,Sex,Female,Part-time,England,2017/18,Lower second class honours,3505
128,Sex,Female,Part-time,England,2017/18,Third class honours/Pass,2205
129,Sex,Female,Part-time,England,2017/18,Unclassified,760
130,Sex,Female,Full-time,Northern Ireland,2017/18,First class honours,1245
131,Sex,Female,Full-time,Northern Ireland,2017/18,Upper second class honours,2325
132,Sex,Female,Full-time,Northern Ireland,2017/18,Lower second class honours,670
133,Sex,Female,Full-time,Northern Ireland,2017/18,Third class honours/Pass,55
134,Sex,Female,Full-time,Northern Ireland,2017/18,Unclassified,135
135,Sex,Female,Part-time,Northern Ireland,2017/18,First class honours,90
136,Sex,Female,Part-time,Northern Ireland,2017/18,Upper second class honours,170
137,Sex,Female,Part-time,Northern Ireland,2017/18,Lower second class honours,130
138,Sex,Female,Part-time,Northern Ireland,2017/18,Third class honours/Pass,35
139,Sex,Female,Part-time,Northern Ireland,2017/18,Unclassified,5
140,Sex,Female,Full-time,Scotland,2017/18,First class honours,3155
141,Sex,Female,Full-time,Scotland,2017/18,Upper second class honours,7075
142,Sex,Female,Full-time,Scotland,2017/18,Lower second class honours,1880
143,Sex,Female,Full-time,Scotland,2017/18,Third class honours/Pass,280
144,Sex,Female,Full-time,Scotland,2017/18,Unclassified,4885
145,Sex,Female,Part-time,Scotland,2017/18,First class honours,110
146,Sex,Female,Part-time,Scotland,2017/18,Upper second class honours,220
147,Sex,Female,Part-time,Scotland,2017/18,Lower second class honours,185
148,Sex,Female,Part-time,Scotland,2017/18,Third class honours/Pass,110
149,Sex,Female,Part-time,Scotland,2017/18,Unclassified,755
150,Sex,Female,Full-time,Wales,2017/18,First class honours,2770
151,Sex,Female,Full-time,Wales,2017/18,Upper second class honours,4765
152,Sex,Female,Full-time,Wales,2017/18,Lower second class honours,1640
153,Sex,Female,Full-time,Wales,2017/18,Third class honours/Pass,270
154,Sex,Female,Full-time,Wales,2017/18,Unclassified,235
155,Sex,Female,Part-time,Wales,2017/18,First class honours,125
156,Sex,Female,Part-time,Wales,2017/18,Upper second class honours,170
157,Sex,Female,Part-time,Wales,2017/18,Lower second class honours,135
158,Sex,Female,Part-time,Wales,2017/18,Third class honours/Pass,65
159,Sex,Female,Part-time,Wales,2017/18,Unclassified,60
160,Sex,Female,Full-time,England,2018/19,First class honours,46870
161,Sex,Female,Full-time,England,2018/19,Upper second class honours,78380
162,Sex,Female,Full-time,England,2018/19,Lower second class honours,25550
163,Sex,Female,Full-time,England,2018/19,Third class honours/Pass,4710
164,Sex,Female,Full-time,England,2018/19,Unclassified,4645
165,Sex,Female,Part-time,England,2018/19,First class honours,2250
166,Sex,Female,Part-time,England,2018/19,Upper second class honours,4295
167,Sex,Female,Part-time,England,2018/19,Lower second class honours,3230
168,Sex,Female,Part-time,England,2018/19,Third class honours/Pass,1895
169,Sex,Female,Part-time,England,2018/19,Unclassified,700
170,Sex,Female,Full-time,Northern Ireland,2018/19,First class honours,1230
171,Sex,Female,Full-time,Northern Ireland,2018/19,Upper second class honours,2405
172,Sex,Female,Full-time,Northern Ireland,2018/19,Lower second class honours,600
173,Sex,Female,Full-time,Northern Ireland,2018/19,Third class honours/Pass,55
174,Sex,Female,Full-time,Northern Ireland,2018/19,Unclassified,155
175,Sex,Female,Part-time,Northern Ireland,2018/19,First class honours,105
176,Sex,Female,Part-time,Northern Ireland,2018/19,Upper second class honours,210
177,Sex,Female,Part-time,Northern Ireland,2018/19,Lower second class honours,115
178,Sex,Female,Part-time,Northern Ireland,2018/19,Third class honours/Pass,30
179,Sex,Female,Part-time,Northern Ireland,2018/19,Unclassified,10
180,Sex,Female,Full-time,Scotland,2018/19,First class honours,3290
181,Sex,Female,Full-time,Scotland,2018/19,Upper second class honours,6800
182,Sex,Female,Full-time,Scotland,2018/19,Lower second class honours,1860
183,Sex,Female,Full-time,Scotland,2018/19,Third class honours/Pass,260
184,Sex,Female,Full-time,Scotland,2018/19,Unclassified,5055
185,Sex,Female,Part-time,Scotland,2018/19,First class honours,155
186,Sex,Female,Part-time,Scotland,2018/19,Upper second class honours,305
187,Sex,Female,Part-time,Scotland,2018/19,Lower second class honours,180
188,Sex,Female,Part-time,Scotland,2018/19,Third class honours/Pass,90
189,Sex,Female,Part-time,Scotland,2018/19,Unclassified,820
190,Sex,Female,Full-time,Wales,2018/19,First class honours,3015
191,Sex,Female,Full-time,Wales,2018/19,Upper second class honours,4665
192,Sex,Female,Full-time,Wales,2018/19,Lower second class honours,1655
193,Sex,Female,Full-time,Wales,2018/19,Third class honours/Pass,240
194,Sex,Female,Full-time,Wales,2018/19,Unclassified,250
195,Sex,Female,Part-time,Wales,2018/19,First class honours,135
196,Sex,Female,Part-time,Wales,2018/19,Upper second class honours,210
197,Sex,Female,Part-time,Wales,2018/19,Lower second class honours,145
198,Sex,Female,Part-time,Wales,2018/19,Third class honours/Pass,65
199,Sex,Female,Part-time,Wales,2018/19,Unclassified,25
200,Sex,Female,Full-time,England,2019/20,First class honours,56600
201,Sex,Female,Full-time,England,2019/20,Upper second class honours,74245
202,Sex,Female,Full-time,England,2019/20,Lower second class honours,20190
203,Sex,Female,Full-time,England,2019/20,Third class honours/Pass,3200
204,Sex,Female,Full-time,England,2019/20,Unclassified,4890
205,Sex,Female,Part-time,England,2019/20,First class honours,1775
206,Sex,Female,Part-time,England,2019/20,Upper second class honours,2605
207,Sex,Female,Part-time,England,2019/20,Lower second class honours,2020
208,Sex,Female,Part-time,England,2019/20,Third class honours/Pass,1165
209,Sex,Female,Part-time,England,2019/20,Unclassified,410
210,Sex,Female,Full-time,Northern Ireland,2019/20,First class honours,1415
211,Sex,Female,Full-time,Northern Ireland,2019/20,Upper second class honours,2375
212,Sex,Female,Full-time,Northern Ireland,2019/20,Lower second class honours,495
213,Sex,Female,Full-time,Northern Ireland,2019/20,Third class honours/Pass,35
214,Sex,Female,Full-time,Northern Ireland,2019/20,Unclassified,140
215,Sex,Female,Part-time,Northern Ireland,2019/20,First class honours,100
216,Sex,Female,Part-time,Northern Ireland,2019/20,Upper second class honours,155
217,Sex,Female,Part-time,Northern Ireland,2019/20,Lower second class honours,80
218,Sex,Female,Part-time,Northern Ireland,2019/20,Third class honours/Pass,20
219,Sex,Female,Part-time,Northern Ireland,2019/20,Unclassified,0
220,Sex,Female,Full-time,Scotland,2019/20,First class honours,4315
221,Sex,Female,Full-time,Scotland,2019/20,Upper second class honours,6720
222,Sex,Female,Full-time,Scotland,2019/20,Lower second class honours,1365
223,Sex,Female,Full-time,Scotland,2019/20,Third class honours/Pass,220
224,Sex,Female,Full-time,Scotland,2019/20,Unclassified,4215
225,Sex,Female,Part-time,Scotland,2019/20,First class honours,65
226,Sex,Female,Part-time,Scotland,2019/20,Upper second class honours,100
227,Sex,Female,Part-time,Scotland,2019/20,Lower second class honours,65
228,Sex,Female,Part-time,Scotland,2019/20,Third class honours/Pass,50
229,Sex,Female,Part-time,Scotland,2019/20,Unclassified,755
230,Sex,Female,Full-time,Wales,2019/20,First class honours,3815
231,Sex,Female,Full-time,Wales,2019/20,Upper second class honours,4605
232,Sex,Female,Full-time,Wales,2019/20,Lower second class honours,1410
233,Sex,Female,Full-time,Wales,2019/20,Third class honours/Pass,220
234,Sex,Female,Full-time,Wales,2019/20,Unclassified,245
235,Sex,Female,Part-time,Wales,2019/20,First class honours,95
236,Sex,Female,Part-time,Wales,2019/20,Upper second class honours,130
237,Sex,Female,Part-time,Wales,2019/20,Lower second class honours,70
238,Sex,Female,Part-time,Wales,2019/20,Third class honours/Pass,30
239,Sex,Female,Part-time,Wales,2019/20,Unclassified,5
240,Sex,Female,All,England,2014/15,First class honours,33910
241,Sex,Female,All,England,2014/15,Upper second class honours,79445
242,Sex,Female,All,England,2014/15,Lower second class honours,31520
243,Sex,Female,All,England,2014/15,Third class honours/Pass,7230
244,Sex,Female,All,England,2014/15,Unclassified,6155
245,Sex,Female,All,Northern Ireland,2014/15,First class honours,945
246,Sex,Female,All,Northern Ireland,2014/15,Upper second class honours,2595
247,Sex,Female,All,Northern Ireland,2014/15,Lower second class honours,1010
248,Sex,Female,All,Northern Ireland,2014/15,Third class honours/Pass,130
249,Sex,Female,All,Northern Ireland,2014/15,Unclassified,160
250,Sex,Female,All,Scotland,2014/15,First class honours,2500
251,Sex,Female,All,Scotland,2014/15,Upper second class honours,6615
252,Sex,Female,All,Scotland,2014/15,Lower second class honours,2240
253,Sex,Female,All,Scotland,2014/15,Third class honours/Pass,345
254,Sex,Female,All,Scotland,2014/15,Unclassified,5935
255,Sex,Female,All,Wales,2014/15,First class honours,2170
256,Sex,Female,All,Wales,2014/15,Upper second class honours,5095
257,Sex,Female,All,Wales,2014/15,Lower second class honours,2410
258,Sex,Female,All,Wales,2014/15,Third class honours/Pass,455
259,Sex,Female,All,Wales,2014/15,Unclassified,365
260,Sex,Female,All,England,2015/16,First class honours,37390
261,Sex,Female,All,England,2015/16,Upper second class honours,80610
262,Sex,Female,All,England,2015/16,Lower second class honours,31000
263,Sex,Female,All,England,2015/16,Third class honours/Pass,7140
264,Sex,Female,All,England,2015/16,Unclassified,6000
265,Sex,Female,All,Northern Ireland,2015/16,First class honours,1130
266,Sex,Female,All,Northern Ireland,2015/16,Upper second class honours,2710
267,Sex,Female,All,Northern Ireland,2015/16,Lower second class honours,930
268,Sex,Female,All,Northern Ireland,2015/16,Third class honours/Pass,125
269,Sex,Female,All,Northern Ireland,2015/16,Unclassified,175
270,Sex,Female,All,Scotland,2015/16,First class honours,2850
271,Sex,Female,All,Scotland,2015/16,Upper second class honours,7030
272,Sex,Female,All,Scotland,2015/16,Lower second class honours,2200
273,Sex,Female,All,Scotland,2015/16,Third class honours/Pass,360
274,Sex,Female,All,Scotland,2015/16,Unclassified,5580
275,Sex,Female,All,Wales,2015/16,First class honours,2330
276,Sex,Female,All,Wales,2015/16,Upper second class honours,4985
277,Sex,Female,All,Wales,2015/16,Lower second class honours,2020
278,Sex,Female,All,Wales,2015/16,Third class honours/Pass,350
279,Sex,Female,All,Wales,2015/16,Unclassified,290
280,Sex,Female,All,England,2016/17,First class honours,42920
281,Sex,Female,All,England,2016/17,Upper second class honours,81950
282,Sex,Female,All,England,2016/17,Lower second class honours,29850
283,Sex,Female,All,England,2016/17,Third class honours/Pass,7415
284,Sex,Female,All,England,2016/17,Unclassified,5545
285,Sex,Female,All,Northern Ireland,2016/17,First class honours,1170
286,Sex,Female,All,Northern Ireland,2016/17,Upper second class honours,2740
287,Sex,Female,All,Northern Ireland,2016/17,Lower second class honours,935
288,Sex,Female,All,Northern Ireland,2016/17,Third class honours/Pass,95
289,Sex,Female,All,Northern Ireland,2016/17,Unclassified,160
290,Sex,Female,All,Scotland,2016/17,First class honours,2975
291,Sex,Female,All,Scotland,2016/17,Upper second class honours,7245
292,Sex,Female,All,Scotland,2016/17,Lower second class honours,2095
293,Sex,Female,All,Scotland,2016/17,Third class honours/Pass,400
294,Sex,Female,All,Scotland,2016/17,Unclassified,5650
295,Sex,Female,All,Wales,2016/17,First class honours,2725
296,Sex,Female,All,Wales,2016/17,Upper second class honours,5100
297,Sex,Female,All,Wales,2016/17,Lower second class honours,1960
298,Sex,Female,All,Wales,2016/17,Third class honours/Pass,365
299,Sex,Female,All,Wales,2016/17,Unclassified,320
300,Sex,Female,All,England,2017/18,First class honours,47315
301,Sex,Female,All,England,2017/18,Upper second class honours,81925
302,Sex,Female,All,England,2017/18,Lower second class honours,28765
303,Sex,Female,All,England,2017/18,Third class honours/Pass,6895
304,Sex,Female,All,England,2017/18,Unclassified,5350
305,Sex,Female,All,Northern Ireland,2017/18,First class honours,1340
306,Sex,Female,All,Northern Ireland,2017/18,Upper second class honours,2500
307,Sex,Female,All,Northern Ireland,2017/18,Lower second class honours,800
308,Sex,Female,All,Northern Ireland,2017/18,Third class honours/Pass,90
