,HE provider,Latitude,Longitude
0,AA School of Architecture,53.403723400000004,-2.965359560100887
1,The University of Aberdeen,57.164587999999995,-2.10185354483682
2,ABI College,51.4516825,-0.9680332
3,Abertay University,56.4631526,-2.97467889452203
4,Aberystwyth University,52.4147708,-4.088374497185885
5,Access to Music,,
6,ACM Guildford,,
7,Academy of Live and Recorded Arts,,
8,AECC University College,50.7269596,-1.8290060325154056
9,Amity Global Education,,
10,Anglia Ruskin University,52.56595385,-0.2518864691146192
11,Apex College London,50.7124754,-1.2943113
12,Arden University,,
13,Arts Educational Schools,51.4959318,-0.2526585
14,Hult International Business School,51.5152219,-0.0676810282654535
15,Aston University,52.48620785,-1.888499150885147
16,Bangor University,53.2289798,-4.1306317
17,Bath Spa University,51.37484,-2.4387089887145446
18,The University of Bath,51.37658545,-2.323423021360605
19,University of Bedfordshire,51.877864200000005,-0.41062506211596705
20,Queen's University Belfast,54.5845733,-5.9351328
21,BIMM,50.8255681,-0.1600834
22,Birkbeck College,51.52184485,-0.13021550670673807
23,Birmingham City University,52.450443250000006,-1.9319613405224376
24,The University of Birmingham,52.4503129,-1.9296402
25,University College Birmingham,52.48242555,-1.9043003220464574
26,Bristol Baptist College,51.4604558,-2.6259498618797954
27,Bishop Grosseteste University,53.2439443,-0.5337095793380141
28,Bloomsbury Institute,51.5225336,-0.1281357
29,The University of Bolton,53.57303145,-2.43779527237738
30,The Arts University Bournemouth,50.74155945,-1.8978961707329878
31,Bournemouth University,50.7423957,-1.894452623489017
32,BPP University,51.51858145,-0.1172141815507334
33,The University of Bradford,53.7912775,-1.7666110188908903
34,The University of Brighton,50.827806949999996,-0.13421551005621962
35,The University College of Osteopathy,51.5001841,-0.09459868667582494
36,The University of Bristol,51.4570471,-2.6034124
37,Brit College,50.808671,-2.7338216
38,Trinity College Bristol,51.136471400000005,-2.9937826923778914
39,Brunel University London,51.5325612,-0.47400459710442444
40,Buckinghamshire New University,51.62818595,-0.7535677268488475
41,The University of Buckingham,51.995481850000004,-0.9912673194804595
42,UK College of Business and Computing,,
43,London College of Business Sciences,,
44,London College of Business Studies,,
45,Cambridge Arts and Sciences,,
46,The University of Cambridge,52.1998523,0.11973865741074383
47,The Cambridge Theological Federation,,
48,The Institute of Cancer Research,51.489775249999994,-0.17461057962416415
49,Canterbury Christ Church University,51.27918085,1.090230903404285
50,Cardiff University,51.4907068,-3.18330823741322
51,Cardiff Metropolitan University,51.4960947,-3.2127615385866655
52,The University of Central Lancashire,53.763403350000004,-2.708749242247724
53,Central Film School London,51.50857415,-0.13752312460386723
54,University of Chester,53.1857524,-2.891162674972156
55,The University of Chichester,50.8449436,-0.7740064130646287
56,Chicken Shed Theatre Company,,
57,The College of Integrated Chinese Medicine,,
58,Christie's Education,51.52028265,-0.14443195582191742
59,Christ the Redeemer College,51.5774723,-0.3690841
60,The City College,51.5285983,-0.08785378917904266
61,"City, University of London",,
62,Cliff College,53.2626335,-1.6279603777731182
63,The Academy of Contemporary Music,51.2365183,-0.5774613
64,Conservatoire for Dance and Drama,,
65,Courtauld Institute of Art,51.5116948,-0.117442
66,Court Theatre Training Company,,
67,Coventry University,52.4056372,-1.4997222676795412
68,Cranfield University,52.070415350000005,-0.6287932053178253
69,University for the Creative Arts,51.32989555,-0.2642532215522868
70,University of Cumbria,54.8908157,-2.9223991
71,De Montfort University,52.630060900000004,-1.1398434074941486
72,University of Derby,52.937954700000006,-1.497999105195924
73,The University of Dundee,56.45796755,-2.9821483135375493
74,University of Durham,54.9027916,-1.392096
75,The University of East Anglia,52.622251,1.2411579
76,The University of East London,51.50727345,0.06440008504304144
77,The Queen's Foundation for Ecumenical Theological Education,,
78,Edge Hill University,53.55830545,-2.869269278551262
79,Edinburgh Napier University,55.9184146,-3.2398797750769717
80,The University of Edinburgh,55.94407645,-3.1883735563964555
81,Empire College London,51.5207096,-0.0534423
82,The University of Essex,51.8790698,0.945054
83,East End Computing and Business College,51.51500145,-0.06217783932920444
84,University College of Estate Management,51.4532231,-0.9638108
85,EThames Graduate School,,
86,The University of Exeter,50.7369302,-3.536476717021671
87,Falmouth University,50.1489352,-5.070568228184767
88,Fairfield School of Business,51.3745282,-0.0910215
89,Met Film School,51.50852245,-0.3069599810810939
90,The National Film and Television School,51.60552465000001,-0.6373136953114371
91,ForMission,,
92,Futureworks,52.08237725,-4.66097524100536
93,Glasgow Caledonian University,55.86746635,-4.250245389417843
94,Glasgow School of Art,55.866305499999996,-4.263902530570013
95,The University of Glasgow,55.872315349999994,-4.289219112981823
96,University of Gloucestershire,51.50107115,-2.550028810141977
97,Glyndŵr University,53.05185605,-3.0035783371872706
98,Goldsmiths College,52.124803,1.3477417
99,Gower College Swansea,51.5964296,-4.1475988
100,Grafton College,51.5157056,-0.1361893
101,The University of Greenwich,51.4825423,-0.0066531
102,GSM London,51.4781296,-0.01109316648039112
103,Guildhall School of Music and Drama,51.51948325,-0.09251348457683686
104,Harper Adams University,52.7789129,-2.427683090113564
105,Hartpury University,51.91012245,-2.307596826125185
106,Heriot-Watt University,55.91029585,-3.323447514558347
107,University of Hertfordshire,51.91031965,-0.37397166028202133
108,Heythrop College,51.9473141,-1.4910318
109,Kaplan Holborn College,51.5023649,-0.092122
110,The University of Huddersfield,53.642893349999994,-1.7781788600613813
111,The University of Hull,53.7710908,-0.3683905962694075
112,ICON College of Technology and Management,,
113,"Imperial College of Science, Technology and Medicine",,
114,London College of International Business Studies,,
115,Institute of Art - London,51.5116948,-0.117442
116,Institute of Education,52.38952535,-1.5583264100547314
117,The Institute of Ismaili Studies,,
118,Institute of Contemporary Music Performance,,
119,The Islamic College,51.5465842,-0.2309642436565209
120,Kaplan Open Learning,,
121,Keele University,53.0016756,-2.270694218876779
122,Kensington College of Business,51.5154575,-0.1197307191928059
123,The University of Kent,51.295015750000005,1.0673010856199983
124,King's College London,51.3928952,0.1146591
125,KLC School of Design,,
126,Kingston University,51.4293343,-0.2684236
127,Kogan Academy of Dramatic Arts,51.5658517,-0.1313861
128,LAMDA,51.490475950000004,-0.2149957965251434
129,The University of Lancaster,54.00975365,-2.7875727317728654
130,LCCM AU UK,,
131,Leeds Arts University,53.8016772,-1.5464983554713156
132,Leeds Beckett University,53.80318895,-1.548929226241939
133,Le Cordon Bleu,51.518779,-0.123939
134,Leeds Conservatoire,53.79752125,-1.5329031748790376
135,The University of Leeds,53.8066846,-1.5560378380435451
136,Leeds Trinity University,53.8481537,-1.6450164550572741
137,The University of Leicester,52.62446355,-1.125730143333798
138,The University of Lincoln,53.2297151,-0.550105
139,Liverpool Hope University,53.412914799999996,-2.9689791539489616
140,Liverpool John Moores University,53.40623985,-2.975148803605808
141,The Liverpool Institute for Performing Arts,53.39938295,-2.9723756468475573
142,The University of Liverpool,53.40697005,-2.9658106105668356
143,Liverpool School of Tropical Medicine,53.4085338,-2.969489784141445
144,Grŵp Llandrillo Menai,,
145,"University of the Arts, London",51.5176785,-0.11640326479620346
146,London School of Business and Finance (UK),,
147,London Bridge Business Academy,51.5204739,-0.10623062489919394
148,London Business School,51.526393049999996,-0.1611472164119675
149,London Churchill College,51.515473,-0.1570192
150,City of London College,51.5156177,-0.0919983
151,University of London (Institutes and activities),,
152,City and Guilds of London Art School,51.487351,-0.107454
153,London Centre of Contemporary Music,,
154,London School of Commerce & IT,51.515623000000005,-0.06505818776886543
155,London College of Creative Media,,
156,London Film School,51.5124599,-0.1210881
157,The London College UCK,,
158,London Metropolitan University,51.51771165,-0.08816256361773317
159,London School of Academics,,
160,London South Bank University,51.497788,-0.10185926156148581
161,London School of Economics and Political Science,51.51459135,-0.11643065760988928
162,London School of Hygiene and Tropical Medicine,51.5209537,-0.13037143644571766
163,London School of Management Education,51.526634349999995,-0.08055878048780396
164,London School of Theology,51.61266825,-0.4312008882784186
165,Stratford College London,51.541289,-0.0035472
166,London Studio Centre,51.5330601,-0.12192404581967217
167,West London College,51.562071700000004,-0.22211378883540894
168,The London School of Architecture,,
169,The London Institute of Banking & Finance,,
170,The Film Education Training Trust,,
171,Loughborough University,52.762782200000004,-1.2395630964980504
172,Luther King House Educational Trust,,
173,The Manchester Metropolitan University,53.47142945,-2.2376503909362055
174,The University of Manchester,53.47396245,-2.2351186696632572
175,Istituto Marangoni,51.51828895,-0.07261310867248695
176,The Markfield Institute of Higher Education,,
177,Matrix College of Counselling and Psychotherapy,,
178,Mattersey Hall,53.3955679,-0.9640215
179,St Mellitus College,51.56750325,-0.11331583607681589
180,The Metanoia Institute,,
181,Middlesex University,51.590297050000004,-0.2296322094540291
182,Millennium Performing Arts,,
183,The Minster Centre,51.5370822,-0.2039904422819407
184,Mountview Academy of Theatre Arts,51.4748412,-0.06974543952990153
185,Mont Rose College of Management and Sciences,,
186,Moorlands College,51.3695059,-2.3779459
187,All Nations Christian College,51.80261575,0.0006518307614990249
188,Nazarene Theological College,53.41581615,-2.241855917658885
189,Nelson College London,51.5114064,-0.1436765
190,Newbold College,52.7682412,-1.4070655
191,Newcastle University,54.98017505,-1.6146802127187847
192,New College of the Humanities,51.5194612,-0.13064721774698634
193,Newman University,52.43411935,-1.9943107286222492
194,St Nicholas Montessori Training,,
195,Norland College,51.3758652,-2.3732668526883725
196,The University of Northampton,52.2312912,-0.8899029
197,Nova College of Accounting and Business,,
198,Grŵp NPTC Group,,
199,Northern College of Acupuncture,53.9571623,-1.0881855
200,University of Northumbria at Newcastle,,
201,Norwich University of the Arts,52.63248935,1.292343006758652
202,University of Nottingham,52.9387428,-1.2002956927457427
203,The Nottingham Trent University,52.9579156,-1.1550819
204,Oak Hill College,51.63966885,-0.14697253576031194
205,Open College of the Arts,,
206,The Open University,52.023965,-0.7089682
207,ICOM,51.3620928,1.1489649448340553
208,Oxford Brookes University,51.7549391,-1.2242334304246336
209,Oxford Business College,51.7520131,-1.2578499
210,The University of Oxford,51.75870755,-1.2556684826092037
211,St Patrick's International College,,
212,Pearson College,51.516654849999995,-0.12318654625912617
213,Plymouth College of Art,50.37279,-4.137024923483057
214,University of Plymouth,50.3756681,-4.139398079558426
215,Point Blank Music School,,
216,The University of Portsmouth,50.7944026,-1.0971748
217,The Prince's Foundation,51.5256916,-0.0812967
218,"Queen Margaret University, Edinburgh",,
219,Queen Mary University of London,51.5247272,-0.03931034663016243
220,University Centre Quayside,54.0505014,-2.8007247
221,Royal Academy of Dramatic Art,51.5208478,-0.13237586076990765
222,Royal Academy of Dance,51.47406,-0.175183
223,Ravensbourne University London,51.5016671,0.005737747823098636
224,"Richmond, The American International University in London",,
225,The University of Reading,51.4412092,-0.9453854
226,Regent's University London,51.52572895,-0.15581549067728978
227,Regents Theological College,52.1135833,-2.3469732297548163
228,Regent College,51.5770175,-0.36869823789337053
229,Robert Gordon University,57.1186191,-2.1397003393363447
230,Roehampton University,51.44879365,-0.24392531053888508
231,Rose Bruford College of Theatre and Performance,,
232,Royal Academy of Music,51.52345845,-0.15183673835566971
233,Royal Agricultural University,51.70956925,-1.9949614444577533
234,Royal College of Art,51.513254200000006,-0.2286853313232899
235,Royal College of Music,51.499477600000006,-0.1771015857027527
236,Royal Conservatoire of Scotland,55.86638255,-4.257549087975787
237,The Royal Central School of Speech and Drama,51.54430755,-0.1741025801918736
238,Royal Holloway and Bedford New College,,
239,Royal Northern College of Music,53.4683847,-2.2367502732797897
240,The Royal Veterinary College,51.53682365,-0.133671590494762
241,The University of St Andrews,56.3398198,-2.8117937053149826
242,SAE Education,,
243,"St George's, University of London",,
244,St Mary's University College,51.43767905,-0.3385983653144301
245,"St Mary's University, Twickenham",51.4370679,-0.3360952
246,The University of Salford,53.4886859,-2.2783287924610947
247,The Salvation Army,55.84571365,-4.416337199332995
248,London School of Science and Technology,51.8801445,-0.4218173
249,SOAS University of London,51.5218979,-0.1288676341954016
250,SRUC,55.92140725,-3.1770583596286617
251,Sheffield Hallam University,53.38172635,-1.462795139475161
252,The University of Sheffield,53.3815248,-1.480681425
253,The Sherwood Institute,52.9514521,-1.1542847848628006
254,The Sherwood Psychotherapy Training Institute,52.9514521,-1.1542847848628006
255,Slough Borough Council,51.510970549999996,-0.6077278648845825
256,Solent University,50.9086815,-1.4005162611321633
257,The University of Southampton,50.9352032,-1.3949104
258,Spurgeon's College,51.4061489,-0.0868106452870342
259,Staffordshire University,52.8131677,-2.0802228
260,Study Group,51.5192433,-0.3293562399489406
261,The University of Stirling,56.145115399999995,-3.917393804088662
262,University of St Mark and St John,,
263,Stranmillis University College,54.57291525,-5.937361148745525
264,The University of Strathclyde,55.8618812,-4.241956565778082
265,University of Suffolk,52.0531808,1.1641646814528457
266,The University of Sunderland,54.9037753,-1.3918236
267,The University of Surrey,51.2431426,-0.5900302801863221
268,The University of Sussex,50.867955699999996,-0.08778561625438146
269,Swansea University,51.6080596,-3.9773969
270,Tech Music Schools,,
271,Teesside University,54.57036085,-1.2350985277726934
272,Tottenham Hotspur Foundation,51.6054005,-0.06774898698817607
273,Trinity Laban Conservatoire of Music and Dance,51.4834384,-0.006521269995949039
274,University of Wales Trinity Saint David,52.11313185,-4.075201674546898
275,University Centre Peterborough,52.586639649999995,-0.23251084694966173
276,University of the Highlands and Islands,57.471018099999995,-4.230607618216142
277,Ulster University,54.60409675,-5.929010666017666
278,The University of Law,51.450772549999996,-2.5852470077111613
279,University College London,51.52420305,-0.13300072425929543
280,University of South Wales,,
281,The University of Wales (central functions),,
282,Waltham International College,,
283,The University of Warwick,52.3793131,-1.5604252
284,Waverley Abbey College,51.2000094,-0.7592816186816365
285,"University of the West of England, Bristol",,
286,The University of the West of Scotland,,
287,West Dean College,50.9062603,-0.775066
288,The University of West London,51.5070185,-0.3028075365414086
289,The University of Westminster,51.5168987,-0.14330516808711596
290,The University of Winchester,51.06273795,-1.3329131222715718
291,West London College of Business and Management Sciences,,
292,The University of Wolverhampton,52.58783985,-2.1266965277043965
293,University of Worcester,51.7543967,-1.2628078953053095
294,Writtle University College,51.736208000000005,0.4263975019465964
295,York St John University,53.96530435,-1.0807087927481738
296,The University of York,53.9453903,-1.0314592943104675
297,Total,52.957927549999994,-1.0780243227623902
