UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Qualification/Classification marker,Level of qualification/Degree classification,Number
,Total,All,All,2019/20,First degree classification,First class honours,140285
,Total,All,All,2019/20,First degree classification,Upper second class honours,189445
,Total,All,All,2019/20,First degree classification,Lower second class honours,60900
,Total,All,All,2019/20,First degree classification,Third class honours/Pass,11750
,Total,All,All,2019/20,First degree classification,Unclassified,20595
,Total,All,East Midlands,2019/20,First degree classification,First class honours,11285
,Total,All,East Midlands,2019/20,First degree classification,Upper second class honours,17430
,Total,All,East Midlands,2019/20,First degree classification,Lower second class honours,6025
,Total,All,East Midlands,2019/20,First degree classification,Third class honours/Pass,1165
,Total,All,East Midlands,2019/20,First degree classification,Unclassified,1110
,Total,All,East of England,2019/20,First degree classification,First class honours,7240
,Total,All,East of England,2019/20,First degree classification,Upper second class honours,9335
,Total,All,East of England,2019/20,First degree classification,Lower second class honours,3650
,Total,All,East of England,2019/20,First degree classification,Third class honours/Pass,780
,Total,All,East of England,2019/20,First degree classification,Unclassified,1015
,Total,All,London,2019/20,First degree classification,First class honours,23080
,Total,All,London,2019/20,First degree classification,Upper second class honours,26490
,Total,All,London,2019/20,First degree classification,Lower second class honours,9000
,Total,All,London,2019/20,First degree classification,Third class honours/Pass,1865
,Total,All,London,2019/20,First degree classification,Unclassified,2970
,Total,All,North East,2019/20,First degree classification,First class honours,7190
,Total,All,North East,2019/20,First degree classification,Upper second class honours,9590
,Total,All,North East,2019/20,First degree classification,Lower second class honours,2680
,Total,All,North East,2019/20,First degree classification,Third class honours/Pass,485
,Total,All,North East,2019/20,First degree classification,Unclassified,565
,Total,All,North West,2019/20,First degree classification,First class honours,16220
,Total,All,North West,2019/20,First degree classification,Upper second class honours,20645
,Total,All,North West,2019/20,First degree classification,Lower second class honours,7315
,Total,All,North West,2019/20,First degree classification,Third class honours/Pass,1615
,Total,All,North West,2019/20,First degree classification,Unclassified,1270
,Total,All,Northern Ireland,2019/20,First degree classification,First class honours,2815
,Total,All,Northern Ireland,2019/20,First degree classification,Upper second class honours,4650
,Total,All,Northern Ireland,2019/20,First degree classification,Lower second class honours,1215
,Total,All,Northern Ireland,2019/20,First degree classification,Third class honours/Pass,135
,Total,All,Northern Ireland,2019/20,First degree classification,Unclassified,285
,Total,All,Scotland,2019/20,First degree classification,First class honours,10220
,Total,All,Scotland,2019/20,First degree classification,Upper second class honours,14295
,Total,All,Scotland,2019/20,First degree classification,Lower second class honours,3605
,Total,All,Scotland,2019/20,First degree classification,Third class honours/Pass,680
,Total,All,Scotland,2019/20,First degree classification,Unclassified,8495
,Total,All,South East,2019/20,First degree classification,First class honours,16485
,Total,All,South East,2019/20,First degree classification,Upper second class honours,25485
,Total,All,South East,2019/20,First degree classification,Lower second class honours,8155
,Total,All,South East,2019/20,First degree classification,Third class honours/Pass,1635
,Total,All,South East,2019/20,First degree classification,Unclassified,1330
,Total,All,South West,2019/20,First degree classification,First class honours,11370
,Total,All,South West,2019/20,First degree classification,Upper second class honours,17135
,Total,All,South West,2019/20,First degree classification,Lower second class honours,4590
,Total,All,South West,2019/20,First degree classification,Third class honours/Pass,615
,Total,All,South West,2019/20,First degree classification,Unclassified,1005
,Total,All,Wales,2019/20,First degree classification,First class honours,7555
,Total,All,Wales,2019/20,First degree classification,Upper second class honours,9725
,Total,All,Wales,2019/20,First degree classification,Lower second class honours,3585
,Total,All,Wales,2019/20,First degree classification,Third class honours/Pass,615
,Total,All,Wales,2019/20,First degree classification,Unclassified,485
,Total,All,West Midlands,2019/20,First degree classification,First class honours,13215
,Total,All,West Midlands,2019/20,First degree classification,Upper second class honours,17125
,Total,All,West Midlands,2019/20,First degree classification,Lower second class honours,5940
,Total,All,West Midlands,2019/20,First degree classification,Third class honours/Pass,1305
,Total,All,West Midlands,2019/20,First degree classification,Unclassified,1105
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,First class honours,13605
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Upper second class honours,17530
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Lower second class honours,5140
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Third class honours/Pass,850
,Total,All,Yorkshire and The Humber,2019/20,First degree classification,Unclassified,960
,Total,England,All,2019/20,First degree classification,First class honours,119695
,Total,England,All,2019/20,First degree classification,Upper second class honours,160775
,Total,England,All,2019/20,First degree classification,Lower second class honours,52495
,Total,England,All,2019/20,First degree classification,Third class honours/Pass,10320
,Total,England,All,2019/20,First degree classification,Unclassified,11325
,Total,England,East Midlands,2019/20,First degree classification,First class honours,11285
,Total,England,East Midlands,2019/20,First degree classification,Upper second class honours,17430
,Total,England,East Midlands,2019/20,First degree classification,Lower second class honours,6025
,Total,England,East Midlands,2019/20,First degree classification,Third class honours/Pass,1165
,Total,England,East Midlands,2019/20,First degree classification,Unclassified,1110
,Total,England,East of England,2019/20,First degree classification,First class honours,7240
,Total,England,East of England,2019/20,First degree classification,Upper second class honours,9335
,Total,England,East of England,2019/20,First degree classification,Lower second class honours,3650
,Total,England,East of England,2019/20,First degree classification,Third class honours/Pass,780
,Total,England,East of England,2019/20,First degree classification,Unclassified,1015
,Total,England,London,2019/20,First degree classification,First class honours,23080
,Total,England,London,2019/20,First degree classification,Upper second class honours,26490
,Total,England,London,2019/20,First degree classification,Lower second class honours,9000
,Total,England,London,2019/20,First degree classification,Third class honours/Pass,1865
,Total,England,London,2019/20,First degree classification,Unclassified,2970
,Total,England,North East,2019/20,First degree classification,First class honours,7190
,Total,England,North East,2019/20,First degree classification,Upper second class honours,9590
,Total,England,North East,2019/20,First degree classification,Lower second class honours,2680
,Total,England,North East,2019/20,First degree classification,Third class honours/Pass,485
,Total,England,North East,2019/20,First degree classification,Unclassified,565
,Total,England,North West,2019/20,First degree classification,First class honours,16220
,Total,England,North West,2019/20,First degree classification,Upper second class honours,20645
,Total,England,North West,2019/20,First degree classification,Lower second class honours,7315
,Total,England,North West,2019/20,First degree classification,Third class honours/Pass,1615
,Total,England,North West,2019/20,First degree classification,Unclassified,1270
,Total,England,South East,2019/20,First degree classification,First class honours,16485
,Total,England,South East,2019/20,First degree classification,Upper second class honours,25485
,Total,England,South East,2019/20,First degree classification,Lower second class honours,8155
,Total,England,South East,2019/20,First degree classification,Third class honours/Pass,1635
,Total,England,South East,2019/20,First degree classification,Unclassified,1330
,Total,England,South West,2019/20,First degree classification,First class honours,11370
,Total,England,South West,2019/20,First degree classification,Upper second class honours,17135
,Total,England,South West,2019/20,First degree classification,Lower second class honours,4590
,Total,England,South West,2019/20,First degree classification,Third class honours/Pass,615
,Total,England,South West,2019/20,First degree classification,Unclassified,1005
,Total,England,West Midlands,2019/20,First degree classification,First class honours,13215
,Total,England,West Midlands,2019/20,First degree classification,Upper second class honours,17125
,Total,England,West Midlands,2019/20,First degree classification,Lower second class honours,5940
,Total,England,West Midlands,2019/20,First degree classification,Third class honours/Pass,1305
,Total,England,West Midlands,2019/20,First degree classification,Unclassified,1105
,Total,England,Yorkshire and The Humber,2019/20,First degree classification,First class honours,13605
,Total,England,Yorkshire and The Humber,2019/20,First degree classification,Upper second class honours,17530
,Total,England,Yorkshire and The Humber,2019/20,First degree classification,Lower second class honours,5140
,Total,England,Yorkshire and The Humber,2019/20,First degree classification,Third class honours/Pass,850
,Total,England,Yorkshire and The Humber,2019/20,First degree classification,Unclassified,960
,Total,Northern Ireland,All,2019/20,First degree classification,First class honours,2815
,Total,Northern Ireland,All,2019/20,First degree classification,Upper second class honours,4650
,Total,Northern Ireland,All,2019/20,First degree classification,Lower second class honours,1215
,Total,Northern Ireland,All,2019/20,First degree classification,Third class honours/Pass,135
,Total,Northern Ireland,All,2019/20,First degree classification,Unclassified,285
,Total,Northern Ireland,Northern Ireland,2019/20,First degree classification,First class honours,2815
,Total,Northern Ireland,Northern Ireland,2019/20,First degree classification,Upper second class honours,4650
,Total,Northern Ireland,Northern Ireland,2019/20,First degree classification,Lower second class honours,1215
,Total,Northern Ireland,Northern Ireland,2019/20,First degree classification,Third class honours/Pass,135
,Total,Northern Ireland,Northern Ireland,2019/20,First degree classification,Unclassified,285
,Total,Scotland,All,2019/20,First degree classification,First class honours,10220
,Total,Scotland,All,2019/20,First degree classification,Upper second class honours,14295
,Total,Scotland,All,2019/20,First degree classification,Lower second class honours,3605
,Total,Scotland,All,2019/20,First degree classification,Third class honours/Pass,680
,Total,Scotland,All,2019/20,First degree classification,Unclassified,8495
,Total,Scotland,Scotland,2019/20,First degree classification,First class honours,10220
,Total,Scotland,Scotland,2019/20,First degree classification,Upper second class honours,14295
,Total,Scotland,Scotland,2019/20,First degree classification,Lower second class honours,3605
,Total,Scotland,Scotland,2019/20,First degree classification,Third class honours/Pass,680
,Total,Scotland,Scotland,2019/20,First degree classification,Unclassified,8495
,Total,Wales,All,2019/20,First degree classification,First class honours,7555
,Total,Wales,All,2019/20,First degree classification,Upper second class honours,9725
,Total,Wales,All,2019/20,First degree classification,Lower second class honours,3585
,Total,Wales,All,2019/20,First degree classification,Third class honours/Pass,615
,Total,Wales,All,2019/20,First degree classification,Unclassified,485
,Total,Wales,Wales,2019/20,First degree classification,First class honours,7555
,Total,Wales,Wales,2019/20,First degree classification,Upper second class honours,9725
,Total,Wales,Wales,2019/20,First degree classification,Lower second class honours,3585
,Total,Wales,Wales,2019/20,First degree classification,Third class honours/Pass,615
,Total,Wales,Wales,2019/20,First degree classification,Unclassified,485
,Total,All,All,2018/19,First degree classification,First class honours,115570
,Total,All,All,2018/19,First degree classification,Upper second class honours,197655
,Total,All,All,2018/19,First degree classification,Lower second class honours,78485
,Total,All,All,2018/19,First degree classification,Third class honours/Pass,18135
,Total,All,All,2018/19,First degree classification,Unclassified,22295
,Total,All,East Midlands,2018/19,First degree classification,First class honours,9430
,Total,All,East Midlands,2018/19,First degree classification,Upper second class honours,17320
,Total,All,East Midlands,2018/19,First degree classification,Lower second class honours,7185
,Total,All,East Midlands,2018/19,First degree classification,Third class honours/Pass,1620
,Total,All,East Midlands,2018/19,First degree classification,Unclassified,920
,Total,All,East of England,2018/19,First degree classification,First class honours,6405
,Total,All,East of England,2018/19,First degree classification,Upper second class honours,9935
,Total,All,East of England,2018/19,First degree classification,Lower second class honours,4160
,Total,All,East of England,2018/19,First degree classification,Third class honours/Pass,1170
,Total,All,East of England,2018/19,First degree classification,Unclassified,840
,Total,All,London,2018/19,First degree classification,First class honours,18490
,Total,All,London,2018/19,First degree classification,Upper second class honours,28540
,Total,All,London,2018/19,First degree classification,Lower second class honours,12320
,Total,All,London,2018/19,First degree classification,Third class honours/Pass,2940
,Total,All,London,2018/19,First degree classification,Unclassified,2805
,Total,All,North East,2018/19,First degree classification,First class honours,5715
,Total,All,North East,2018/19,First degree classification,Upper second class honours,10070
,Total,All,North East,2018/19,First degree classification,Lower second class honours,3495
,Total,All,North East,2018/19,First degree classification,Third class honours/Pass,805
,Total,All,North East,2018/19,First degree classification,Unclassified,490
,Total,All,North West,2018/19,First degree classification,First class honours,13270
,Total,All,North West,2018/19,First degree classification,Upper second class honours,20220
,Total,All,North West,2018/19,First degree classification,Lower second class honours,9095
,Total,All,North West,2018/19,First degree classification,Third class honours/Pass,2205
,Total,All,North West,2018/19,First degree classification,Unclassified,1405
,Total,All,Northern Ireland,2018/19,First degree classification,First class honours,2500
,Total,All,Northern Ireland,2018/19,First degree classification,Upper second class honours,4825
,Total,All,Northern Ireland,2018/19,First degree classification,Lower second class honours,1545
,Total,All,Northern Ireland,2018/19,First degree classification,Third class honours/Pass,220
,Total,All,Northern Ireland,2018/19,First degree classification,Unclassified,295
,Total,All,Scotland,2018/19,First degree classification,First class honours,8080
,Total,All,Scotland,2018/19,First degree classification,Upper second class honours,14830
,Total,All,Scotland,2018/19,First degree classification,Lower second class honours,4755
,Total,All,Scotland,2018/19,First degree classification,Third class honours/Pass,875
,Total,All,Scotland,2018/19,First degree classification,Unclassified,10190
,Total,All,South East,2018/19,First degree classification,First class honours,14680
,Total,All,South East,2018/19,First degree classification,Upper second class honours,27620
,Total,All,South East,2018/19,First degree classification,Lower second class honours,11900
,Total,All,South East,2018/19,First degree classification,Third class honours/Pass,3090
,Total,All,South East,2018/19,First degree classification,Unclassified,1465
,Total,All,South West,2018/19,First degree classification,First class honours,9015
,Total,All,South West,2018/19,First degree classification,Upper second class honours,18045
,Total,All,South West,2018/19,First degree classification,Lower second class honours,5765
,Total,All,South West,2018/19,First degree classification,Third class honours/Pass,1125
,Total,All,South West,2018/19,First degree classification,Unclassified,1085
,Total,All,Wales,2018/19,First degree classification,First class honours,6045
,Total,All,Wales,2018/19,First degree classification,Upper second class honours,10070
,Total,All,Wales,2018/19,First degree classification,Lower second class honours,4490
,Total,All,Wales,2018/19,First degree classification,Third class honours/Pass,930
,Total,All,Wales,2018/19,First degree classification,Unclassified,575
,Total,All,West Midlands,2018/19,First degree classification,First class honours,10875
,Total,All,West Midlands,2018/19,First degree classification,Upper second class honours,17455
,Total,All,West Midlands,2018/19,First degree classification,Lower second class honours,7015
,Total,All,West Midlands,2018/19,First degree classification,Third class honours/Pass,1805
,Total,All,West Midlands,2018/19,First degree classification,Unclassified,1115
,Total,All,Yorkshire and The Humber,2018/19,First degree classification,First class honours,11075
,Total,All,Yorkshire and The Humber,2018/19,First degree classification,Upper second class honours,18735
,Total,All,Yorkshire and The Humber,2018/19,First degree classification,Lower second class honours,6765
,Total,All,Yorkshire and The Humber,2018/19,First degree classification,Third class honours/Pass,1355
,Total,All,Yorkshire and The Humber,2018/19,First degree classification,Unclassified,1110
,Total,England,All,2018/19,First degree classification,First class honours,98950
,Total,England,All,2018/19,First degree classification,Upper second class honours,167935
,Total,England,All,2018/19,First degree classification,Lower second class honours,67700
,Total,England,All,2018/19,First degree classification,Third class honours/Pass,16115
,Total,England,All,2018/19,First degree classification,Unclassified,11235
,Total,England,East Midlands,2018/19,First degree classification,First class honours,9430
,Total,England,East Midlands,2018/19,First degree classification,Upper second class honours,17320
,Total,England,East Midlands,2018/19,First degree classification,Lower second class honours,7185
,Total,England,East Midlands,2018/19,First degree classification,Third class honours/Pass,1620
,Total,England,East Midlands,2018/19,First degree classification,Unclassified,920
,Total,England,East of England,2018/19,First degree classification,First class honours,6405
,Total,England,East of England,2018/19,First degree classification,Upper second class honours,9935
,Total,England,East of England,2018/19,First degree classification,Lower second class honours,4160
,Total,England,East of England,2018/19,First degree classification,Third class honours/Pass,1170
,Total,England,East of England,2018/19,First degree classification,Unclassified,840
,Total,England,London,2018/19,First degree classification,First class honours,18490
,Total,England,London,2018/19,First degree classification,Upper second class honours,28540
,Total,England,London,2018/19,First degree classification,Lower second class honours,12320
,Total,England,London,2018/19,First degree classification,Third class honours/Pass,2940
,Total,England,London,2018/19,First degree classification,Unclassified,2805
,Total,England,North East,2018/19,First degree classification,First class honours,5715
,Total,England,North East,2018/19,First degree classification,Upper second class honours,10070
,Total,England,North East,2018/19,First degree classification,Lower second class honours,3495
,Total,England,North East,2018/19,First degree classification,Third class honours/Pass,805
,Total,England,North East,2018/19,First degree classification,Unclassified,490
,Total,England,North West,2018/19,First degree classification,First class honours,13270
,Total,England,North West,2018/19,First degree classification,Upper second class honours,20220
,Total,England,North West,2018/19,First degree classification,Lower second class honours,9095
,Total,England,North West,2018/19,First degree classification,Third class honours/Pass,2205
,Total,England,North West,2018/19,First degree classification,Unclassified,1405
,Total,England,South East,2018/19,First degree classification,First class honours,14680
,Total,England,South East,2018/19,First degree classification,Upper second class honours,27620
,Total,England,South East,2018/19,First degree classification,Lower second class honours,11900
,Total,England,South East,2018/19,First degree classification,Third class honours/Pass,3090
,Total,England,South East,2018/19,First degree classification,Unclassified,1465
,Total,England,South West,2018/19,First degree classification,First class honours,9015
,Total,England,South West,2018/19,First degree classification,Upper second class honours,18045
,Total,England,South West,2018/19,First degree classification,Lower second class honours,5765
,Total,England,South West,2018/19,First degree classification,Third class honours/Pass,1125
,Total,England,South West,2018/19,First degree classification,Unclassified,1085
,Total,England,West Midlands,2018/19,First degree classification,First class honours,10875
,Total,England,West Midlands,2018/19,First degree classification,Upper second class honours,17455
,Total,England,West Midlands,2018/19,First degree classification,Lower second class honours,7015
,Total,England,West Midlands,2018/19,First degree classification,Third class honours/Pass,1805
,Total,England,West Midlands,2018/19,First degree classification,Unclassified,1115
,Total,England,Yorkshire and The Humber,2018/19,First degree classification,First class honours,11075
,Total,England,Yorkshire and The Humber,2018/19,First degree classification,Upper second class honours,18735
,Total,England,Yorkshire and The Humber,2018/19,First degree classification,Lower second class honours,6765
,Total,England,Yorkshire and The Humber,2018/19,First degree classification,Third class honours/Pass,1355
,Total,England,Yorkshire and The Humber,2018/19,First degree classification,Unclassified,1110
,Total,Northern Ireland,All,2018/19,First degree classification,First class honours,2500
,Total,Northern Ireland,All,2018/19,First degree classification,Upper second class honours,4825
,Total,Northern Ireland,All,2018/19,First degree classification,Lower second class honours,1545
,Total,Northern Ireland,All,2018/19,First degree classification,Third class honours/Pass,220
,Total,Northern Ireland,All,2018/19,First degree classification,Unclassified,295
,Total,Northern Ireland,Northern Ireland,2018/19,First degree classification,First class honours,2500
,Total,Northern Ireland,Northern Ireland,2018/19,First degree classification,Upper second class honours,4825
,Total,Northern Ireland,Northern Ireland,2018/19,First degree classification,Lower second class honours,1545
,Total,Northern Ireland,Northern Ireland,2018/19,First degree classification,Third class honours/Pass,220
,Total,Northern Ireland,Northern Ireland,2018/19,First degree classification,Unclassified,295
,Total,Scotland,All,2018/19,First degree classification,First class honours,8080
,Total,Scotland,All,2018/19,First degree classification,Upper second class honours,14830
,Total,Scotland,All,2018/19,First degree classification,Lower second class honours,4755
,Total,Scotland,All,2018/19,First degree classification,Third class honours/Pass,875
,Total,Scotland,All,2018/19,First degree classification,Unclassified,10190
,Total,Scotland,Scotland,2018/19,First degree classification,First class honours,8080
,Total,Scotland,Scotland,2018/19,First degree classification,Upper second class honours,14830
,Total,Scotland,Scotland,2018/19,First degree classification,Lower second class honours,4755
,Total,Scotland,Scotland,2018/19,First degree classification,Third class honours/Pass,875
,Total,Scotland,Scotland,2018/19,First degree classification,Unclassified,10190
,Total,Wales,All,2018/19,First degree classification,First class honours,6045
,Total,Wales,All,2018/19,First degree classification,Upper second class honours,10070
,Total,Wales,All,2018/19,First degree classification,Lower second class honours,4490
,Total,Wales,All,2018/19,First degree classification,Third class honours/Pass,930
,Total,Wales,All,2018/19,First degree classification,Unclassified,575
,Total,Wales,Wales,2018/19,First degree classification,First class honours,6045
,Total,Wales,Wales,2018/19,First degree classification,Upper second class honours,10070
,Total,Wales,Wales,2018/19,First degree classification,Lower second class honours,4490
