,Sex,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
0,Female,Full-time,England,2014/15,First class honours,31210
1,Female,Full-time,England,2014/15,Upper second class honours,73215
2,Female,Full-time,England,2014/15,Lower second class honours,26570
3,Female,Full-time,England,2014/15,Third class honours/Pass,4620
4,Female,Full-time,England,2014/15,Unclassified,4825
5,Female,Part-time,England,2014/15,First class honours,2695
6,Female,Part-time,England,2014/15,Upper second class honours,6230
7,Female,Part-time,England,2014/15,Lower second class honours,4950
8,Female,Part-time,England,2014/15,Third class honours/Pass,2610
9,Female,Part-time,England,2014/15,Unclassified,1330
10,Female,Full-time,Northern Ireland,2014/15,First class honours,885
11,Female,Full-time,Northern Ireland,2014/15,Upper second class honours,2380
12,Female,Full-time,Northern Ireland,2014/15,Lower second class honours,840
13,Female,Full-time,Northern Ireland,2014/15,Third class honours/Pass,95
14,Female,Full-time,Northern Ireland,2014/15,Unclassified,150
15,Female,Part-time,Northern Ireland,2014/15,First class honours,55
16,Female,Part-time,Northern Ireland,2014/15,Upper second class honours,220
17,Female,Part-time,Northern Ireland,2014/15,Lower second class honours,170
18,Female,Part-time,Northern Ireland,2014/15,Third class honours/Pass,35
19,Female,Part-time,Northern Ireland,2014/15,Unclassified,15
20,Female,Full-time,Scotland,2014/15,First class honours,2395
21,Female,Full-time,Scotland,2014/15,Upper second class honours,6385
22,Female,Full-time,Scotland,2014/15,Lower second class honours,2070
23,Female,Full-time,Scotland,2014/15,Third class honours/Pass,260
24,Female,Full-time,Scotland,2014/15,Unclassified,4705
25,Female,Part-time,Scotland,2014/15,First class honours,105
26,Female,Part-time,Scotland,2014/15,Upper second class honours,230
27,Female,Part-time,Scotland,2014/15,Lower second class honours,170
28,Female,Part-time,Scotland,2014/15,Third class honours/Pass,85
29,Female,Part-time,Scotland,2014/15,Unclassified,1225
30,Female,Full-time,Wales,2014/15,First class honours,2030
31,Female,Full-time,Wales,2014/15,Upper second class honours,4830
32,Female,Full-time,Wales,2014/15,Lower second class honours,2180
33,Female,Full-time,Wales,2014/15,Third class honours/Pass,350
34,Female,Full-time,Wales,2014/15,Unclassified,290
35,Female,Part-time,Wales,2014/15,First class honours,140
36,Female,Part-time,Wales,2014/15,Upper second class honours,265
37,Female,Part-time,Wales,2014/15,Lower second class honours,230
38,Female,Part-time,Wales,2014/15,Third class honours/Pass,100
39,Female,Part-time,Wales,2014/15,Unclassified,75
40,Female,Full-time,England,2015/16,First class honours,34940
41,Female,Full-time,England,2015/16,Upper second class honours,75170
42,Female,Full-time,England,2015/16,Lower second class honours,26535
43,Female,Full-time,England,2015/16,Third class honours/Pass,4680
44,Female,Full-time,England,2015/16,Unclassified,4855
45,Female,Part-time,England,2015/16,First class honours,2450
46,Female,Part-time,England,2015/16,Upper second class honours,5440
47,Female,Part-time,England,2015/16,Lower second class honours,4465
48,Female,Part-time,England,2015/16,Third class honours/Pass,2465
49,Female,Part-time,England,2015/16,Unclassified,1145
50,Female,Full-time,Northern Ireland,2015/16,First class honours,1065
51,Female,Full-time,Northern Ireland,2015/16,Upper second class honours,2490
52,Female,Full-time,Northern Ireland,2015/16,Lower second class honours,815
53,Female,Full-time,Northern Ireland,2015/16,Third class honours/Pass,80
54,Female,Full-time,Northern Ireland,2015/16,Unclassified,155
55,Female,Part-time,Northern Ireland,2015/16,First class honours,65
56,Female,Part-time,Northern Ireland,2015/16,Upper second class honours,220
57,Female,Part-time,Northern Ireland,2015/16,Lower second class honours,115
58,Female,Part-time,Northern Ireland,2015/16,Third class honours/Pass,40
59,Female,Part-time,Northern Ireland,2015/16,Unclassified,20
60,Female,Full-time,Scotland,2015/16,First class honours,2750
61,Female,Full-time,Scotland,2015/16,Upper second class honours,6775
62,Female,Full-time,Scotland,2015/16,Lower second class honours,2015
63,Female,Full-time,Scotland,2015/16,Third class honours/Pass,260
64,Female,Full-time,Scotland,2015/16,Unclassified,4670
65,Female,Part-time,Scotland,2015/16,First class honours,105
66,Female,Part-time,Scotland,2015/16,Upper second class honours,255
67,Female,Part-time,Scotland,2015/16,Lower second class honours,185
68,Female,Part-time,Scotland,2015/16,Third class honours/Pass,100
69,Female,Part-time,Scotland,2015/16,Unclassified,910
70,Female,Full-time,Wales,2015/16,First class honours,2220
71,Female,Full-time,Wales,2015/16,Upper second class honours,4765
72,Female,Full-time,Wales,2015/16,Lower second class honours,1875
73,Female,Full-time,Wales,2015/16,Third class honours/Pass,285
74,Female,Full-time,Wales,2015/16,Unclassified,235
75,Female,Part-time,Wales,2015/16,First class honours,115
76,Female,Part-time,Wales,2015/16,Upper second class honours,220
77,Female,Part-time,Wales,2015/16,Lower second class honours,145
78,Female,Part-time,Wales,2015/16,Third class honours/Pass,60
79,Female,Part-time,Wales,2015/16,Unclassified,60
80,Female,Full-time,England,2016/17,First class honours,40380
81,Female,Full-time,England,2016/17,Upper second class honours,76770
82,Female,Full-time,England,2016/17,Lower second class honours,25590
83,Female,Full-time,England,2016/17,Third class honours/Pass,4975
84,Female,Full-time,England,2016/17,Unclassified,4515
85,Female,Part-time,England,2016/17,First class honours,2535
86,Female,Part-time,England,2016/17,Upper second class honours,5185
87,Female,Part-time,England,2016/17,Lower second class honours,4260
88,Female,Part-time,England,2016/17,Third class honours/Pass,2440
89,Female,Part-time,England,2016/17,Unclassified,1030
90,Female,Full-time,Northern Ireland,2016/17,First class honours,1110
91,Female,Full-time,Northern Ireland,2016/17,Upper second class honours,2530
92,Female,Full-time,Northern Ireland,2016/17,Lower second class honours,810
93,Female,Full-time,Northern Ireland,2016/17,Third class honours/Pass,55
94,Female,Full-time,Northern Ireland,2016/17,Unclassified,150
95,Female,Part-time,Northern Ireland,2016/17,First class honours,60
96,Female,Part-time,Northern Ireland,2016/17,Upper second class honours,215
97,Female,Part-time,Northern Ireland,2016/17,Lower second class honours,125
98,Female,Part-time,Northern Ireland,2016/17,Third class honours/Pass,40
99,Female,Part-time,Northern Ireland,2016/17,Unclassified,15
100,Female,Full-time,Scotland,2016/17,First class honours,2865
101,Female,Full-time,Scotland,2016/17,Upper second class honours,6960
102,Female,Full-time,Scotland,2016/17,Lower second class honours,1885
103,Female,Full-time,Scotland,2016/17,Third class honours/Pass,300
104,Female,Full-time,Scotland,2016/17,Unclassified,4830
105,Female,Part-time,Scotland,2016/17,First class honours,115
106,Female,Part-time,Scotland,2016/17,Upper second class honours,285
107,Female,Part-time,Scotland,2016/17,Lower second class honours,210
108,Female,Part-time,Scotland,2016/17,Third class honours/Pass,100
109,Female,Part-time,Scotland,2016/17,Unclassified,820
110,Female,Full-time,Wales,2016/17,First class honours,2605
111,Female,Full-time,Wales,2016/17,Upper second class honours,4885
112,Female,Full-time,Wales,2016/17,Lower second class honours,1815
113,Female,Full-time,Wales,2016/17,Third class honours/Pass,300
114,Female,Full-time,Wales,2016/17,Unclassified,275
115,Female,Part-time,Wales,2016/17,First class honours,120
116,Female,Part-time,Wales,2016/17,Upper second class honours,215
117,Female,Part-time,Wales,2016/17,Lower second class honours,150
118,Female,Part-time,Wales,2016/17,Third class honours/Pass,65
119,Female,Part-time,Wales,2016/17,Unclassified,45
120,Female,Full-time,England,2017/18,First class honours,45115
121,Female,Full-time,England,2017/18,Upper second class honours,77775
122,Female,Full-time,England,2017/18,Lower second class honours,25260
123,Female,Full-time,England,2017/18,Third class honours/Pass,4690
124,Female,Full-time,England,2017/18,Unclassified,4590
125,Female,Part-time,England,2017/18,First class honours,2200
126,Female,Part-time,England,2017/18,Upper second class honours,4155
127,Female,Part-time,England,2017/18,Lower second class honours,3505
128,Female,Part-time,England,2017/18,Third class honours/Pass,2205
129,Female,Part-time,England,2017/18,Unclassified,760
130,Female,Full-time,Northern Ireland,2017/18,First class honours,1245
131,Female,Full-time,Northern Ireland,2017/18,Upper second class honours,2325
132,Female,Full-time,Northern Ireland,2017/18,Lower second class honours,670
133,Female,Full-time,Northern Ireland,2017/18,Third class honours/Pass,55
134,Female,Full-time,Northern Ireland,2017/18,Unclassified,135
135,Female,Part-time,Northern Ireland,2017/18,First class honours,90
136,Female,Part-time,Northern Ireland,2017/18,Upper second class honours,170
137,Female,Part-time,Northern Ireland,2017/18,Lower second class honours,130
138,Female,Part-time,Northern Ireland,2017/18,Third class honours/Pass,35
139,Female,Part-time,Northern Ireland,2017/18,Unclassified,5
140,Female,Full-time,Scotland,2017/18,First class honours,3155
141,Female,Full-time,Scotland,2017/18,Upper second class honours,7075
142,Female,Full-time,Scotland,2017/18,Lower second class honours,1880
143,Female,Full-time,Scotland,2017/18,Third class honours/Pass,280
144,Female,Full-time,Scotland,2017/18,Unclassified,4885
145,Female,Part-time,Scotland,2017/18,First class honours,110
146,Female,Part-time,Scotland,2017/18,Upper second class honours,220
147,Female,Part-time,Scotland,2017/18,Lower second class honours,185
148,Female,Part-time,Scotland,2017/18,Third class honours/Pass,110
149,Female,Part-time,Scotland,2017/18,Unclassified,755
150,Female,Full-time,Wales,2017/18,First class honours,2770
151,Female,Full-time,Wales,2017/18,Upper second class honours,4765
152,Female,Full-time,Wales,2017/18,Lower second class honours,1640
153,Female,Full-time,Wales,2017/18,Third class honours/Pass,270
154,Female,Full-time,Wales,2017/18,Unclassified,235
155,Female,Part-time,Wales,2017/18,First class honours,125
156,Female,Part-time,Wales,2017/18,Upper second class honours,170
157,Female,Part-time,Wales,2017/18,Lower second class honours,135
158,Female,Part-time,Wales,2017/18,Third class honours/Pass,65
159,Female,Part-time,Wales,2017/18,Unclassified,60
160,Female,Full-time,England,2018/19,First class honours,46870
161,Female,Full-time,England,2018/19,Upper second class honours,78380
162,Female,Full-time,England,2018/19,Lower second class honours,25550
163,Female,Full-time,England,2018/19,Third class honours/Pass,4710
164,Female,Full-time,England,2018/19,Unclassified,4645
165,Female,Part-time,England,2018/19,First class honours,2250
166,Female,Part-time,England,2018/19,Upper second class honours,4295
167,Female,Part-time,England,2018/19,Lower second class honours,3230
168,Female,Part-time,England,2018/19,Third class honours/Pass,1895
169,Female,Part-time,England,2018/19,Unclassified,700
170,Female,Full-time,Northern Ireland,2018/19,First class honours,1230
171,Female,Full-time,Northern Ireland,2018/19,Upper second class honours,2405
172,Female,Full-time,Northern Ireland,2018/19,Lower second class honours,600
173,Female,Full-time,Northern Ireland,2018/19,Third class honours/Pass,55
174,Female,Full-time,Northern Ireland,2018/19,Unclassified,155
175,Female,Part-time,Northern Ireland,2018/19,First class honours,105
176,Female,Part-time,Northern Ireland,2018/19,Upper second class honours,210
177,Female,Part-time,Northern Ireland,2018/19,Lower second class honours,115
178,Female,Part-time,Northern Ireland,2018/19,Third class honours/Pass,30
179,Female,Part-time,Northern Ireland,2018/19,Unclassified,10
180,Female,Full-time,Scotland,2018/19,First class honours,3290
181,Female,Full-time,Scotland,2018/19,Upper second class honours,6800
182,Female,Full-time,Scotland,2018/19,Lower second class honours,1860
183,Female,Full-time,Scotland,2018/19,Third class honours/Pass,260
184,Female,Full-time,Scotland,2018/19,Unclassified,5055
185,Female,Part-time,Scotland,2018/19,First class honours,155
186,Female,Part-time,Scotland,2018/19,Upper second class honours,305
187,Female,Part-time,Scotland,2018/19,Lower second class honours,180
188,Female,Part-time,Scotland,2018/19,Third class honours/Pass,90
189,Female,Part-time,Scotland,2018/19,Unclassified,820
190,Female,Full-time,Wales,2018/19,First class honours,3015
191,Female,Full-time,Wales,2018/19,Upper second class honours,4665
192,Female,Full-time,Wales,2018/19,Lower second class honours,1655
193,Female,Full-time,Wales,2018/19,Third class honours/Pass,240
194,Female,Full-time,Wales,2018/19,Unclassified,250
195,Female,Part-time,Wales,2018/19,First class honours,135
196,Female,Part-time,Wales,2018/19,Upper second class honours,210
197,Female,Part-time,Wales,2018/19,Lower second class honours,145
198,Female,Part-time,Wales,2018/19,Third class honours/Pass,65
199,Female,Part-time,Wales,2018/19,Unclassified,25
200,Female,Full-time,England,2019/20,First class honours,56600
201,Female,Full-time,England,2019/20,Upper second class honours,74245
202,Female,Full-time,England,2019/20,Lower second class honours,20190
203,Female,Full-time,England,2019/20,Third class honours/Pass,3200
204,Female,Full-time,England,2019/20,Unclassified,4890
205,Female,Part-time,England,2019/20,First class honours,1775
206,Female,Part-time,England,2019/20,Upper second class honours,2605
207,Female,Part-time,England,2019/20,Lower second class honours,2020
208,Female,Part-time,England,2019/20,Third class honours/Pass,1165
209,Female,Part-time,England,2019/20,Unclassified,410
210,Female,Full-time,Northern Ireland,2019/20,First class honours,1415
211,Female,Full-time,Northern Ireland,2019/20,Upper second class honours,2375
212,Female,Full-time,Northern Ireland,2019/20,Lower second class honours,495
213,Female,Full-time,Northern Ireland,2019/20,Third class honours/Pass,35
214,Female,Full-time,Northern Ireland,2019/20,Unclassified,140
215,Female,Part-time,Northern Ireland,2019/20,First class honours,100
216,Female,Part-time,Northern Ireland,2019/20,Upper second class honours,155
217,Female,Part-time,Northern Ireland,2019/20,Lower second class honours,80
218,Female,Part-time,Northern Ireland,2019/20,Third class honours/Pass,20
219,Female,Part-time,Northern Ireland,2019/20,Unclassified,0
220,Female,Full-time,Scotland,2019/20,First class honours,4315
221,Female,Full-time,Scotland,2019/20,Upper second class honours,6720
222,Female,Full-time,Scotland,2019/20,Lower second class honours,1365
223,Female,Full-time,Scotland,2019/20,Third class honours/Pass,220
224,Female,Full-time,Scotland,2019/20,Unclassified,4215
225,Female,Part-time,Scotland,2019/20,First class honours,65
226,Female,Part-time,Scotland,2019/20,Upper second class honours,100
227,Female,Part-time,Scotland,2019/20,Lower second class honours,65
228,Female,Part-time,Scotland,2019/20,Third class honours/Pass,50
229,Female,Part-time,Scotland,2019/20,Unclassified,755
230,Female,Full-time,Wales,2019/20,First class honours,3815
231,Female,Full-time,Wales,2019/20,Upper second class honours,4605
232,Female,Full-time,Wales,2019/20,Lower second class honours,1410
233,Female,Full-time,Wales,2019/20,Third class honours/Pass,220
234,Female,Full-time,Wales,2019/20,Unclassified,245
235,Female,Part-time,Wales,2019/20,First class honours,95
236,Female,Part-time,Wales,2019/20,Upper second class honours,130
237,Female,Part-time,Wales,2019/20,Lower second class honours,70
238,Female,Part-time,Wales,2019/20,Third class honours/Pass,30
239,Female,Part-time,Wales,2019/20,Unclassified,5
240,Female,All,England,2014/15,First class honours,33910
241,Female,All,England,2014/15,Upper second class honours,79445
242,Female,All,England,2014/15,Lower second class honours,31520
243,Female,All,England,2014/15,Third class honours/Pass,7230
244,Female,All,England,2014/15,Unclassified,6155
245,Female,All,Northern Ireland,2014/15,First class honours,945
246,Female,All,Northern Ireland,2014/15,Upper second class honours,2595
247,Female,All,Northern Ireland,2014/15,Lower second class honours,1010
248,Female,All,Northern Ireland,2014/15,Third class honours/Pass,130
249,Female,All,Northern Ireland,2014/15,Unclassified,160
250,Female,All,Scotland,2014/15,First class honours,2500
251,Female,All,Scotland,2014/15,Upper second class honours,6615
252,Female,All,Scotland,2014/15,Lower second class honours,2240
253,Female,All,Scotland,2014/15,Third class honours/Pass,345
254,Female,All,Scotland,2014/15,Unclassified,5935
255,Female,All,Wales,2014/15,First class honours,2170
256,Female,All,Wales,2014/15,Upper second class honours,5095
257,Female,All,Wales,2014/15,Lower second class honours,2410
258,Female,All,Wales,2014/15,Third class honours/Pass,455
259,Female,All,Wales,2014/15,Unclassified,365
260,Female,All,England,2015/16,First class honours,37390
261,Female,All,England,2015/16,Upper second class honours,80610
262,Female,All,England,2015/16,Lower second class honours,31000
263,Female,All,England,2015/16,Third class honours/Pass,7140
264,Female,All,England,2015/16,Unclassified,6000
265,Female,All,Northern Ireland,2015/16,First class honours,1130
266,Female,All,Northern Ireland,2015/16,Upper second class honours,2710
267,Female,All,Northern Ireland,2015/16,Lower second class honours,930
268,Female,All,Northern Ireland,2015/16,Third class honours/Pass,125
269,Female,All,Northern Ireland,2015/16,Unclassified,175
270,Female,All,Scotland,2015/16,First class honours,2850
271,Female,All,Scotland,2015/16,Upper second class honours,7030
272,Female,All,Scotland,2015/16,Lower second class honours,2200
273,Female,All,Scotland,2015/16,Third class honours/Pass,360
274,Female,All,Scotland,2015/16,Unclassified,5580
275,Female,All,Wales,2015/16,First class honours,2330
276,Female,All,Wales,2015/16,Upper second class honours,4985
277,Female,All,Wales,2015/16,Lower second class honours,2020
278,Female,All,Wales,2015/16,Third class honours/Pass,350
279,Female,All,Wales,2015/16,Unclassified,290
280,Female,All,England,2016/17,First class honours,42920
281,Female,All,England,2016/17,Upper second class honours,81950
282,Female,All,England,2016/17,Lower second class honours,29850
283,Female,All,England,2016/17,Third class honours/Pass,7415
284,Female,All,England,2016/17,Unclassified,5545
285,Female,All,Northern Ireland,2016/17,First class honours,1170
286,Female,All,Northern Ireland,2016/17,Upper second class honours,2740
287,Female,All,Northern Ireland,2016/17,Lower second class honours,935
288,Female,All,Northern Ireland,2016/17,Third class honours/Pass,95
289,Female,All,Northern Ireland,2016/17,Unclassified,160
290,Female,All,Scotland,2016/17,First class honours,2975
291,Female,All,Scotland,2016/17,Upper second class honours,7245
292,Female,All,Scotland,2016/17,Lower second class honours,2095
293,Female,All,Scotland,2016/17,Third class honours/Pass,400
294,Female,All,Scotland,2016/17,Unclassified,5650
295,Female,All,Wales,2016/17,First class honours,2725
296,Female,All,Wales,2016/17,Upper second class honours,5100
297,Female,All,Wales,2016/17,Lower second class honours,1960
298,Female,All,Wales,2016/17,Third class honours/Pass,365
299,Female,All,Wales,2016/17,Unclassified,320
300,Female,All,England,2017/18,First class honours,47315
301,Female,All,England,2017/18,Upper second class honours,81925
302,Female,All,England,2017/18,Lower second class honours,28765
303,Female,All,England,2017/18,Third class honours/Pass,6895
304,Female,All,England,2017/18,Unclassified,5350
305,Female,All,Northern Ireland,2017/18,First class honours,1340
306,Female,All,Northern Ireland,2017/18,Upper second class honours,2500
307,Female,All,Northern Ireland,2017/18,Lower second class honours,800
308,Female,All,Northern Ireland,2017/18,Third class honours/Pass,90
309,Female,All,Northern Ireland,2017/18,Unclassified,140
310,Female,All,Scotland,2017/18,First class honours,3265
311,Female,All,Scotland,2017/18,Upper second class honours,7295
312,Female,All,Scotland,2017/18,Lower second class honours,2065
313,Female,All,Scotland,2017/18,Third class honours/Pass,390
314,Female,All,Scotland,2017/18,Unclassified,5635
315,Female,All,Wales,2017/18,First class honours,2895
316,Female,All,Wales,2017/18,Upper second class honours,4935
317,Female,All,Wales,2017/18,Lower second class honours,1780
318,Female,All,Wales,2017/18,Third class honours/Pass,335
319,Female,All,Wales,2017/18,Unclassified,295
320,Female,All,England,2018/19,First class honours,49120
321,Female,All,England,2018/19,Upper second class honours,82675
322,Female,All,England,2018/19,Lower second class honours,28775
323,Female,All,England,2018/19,Third class honours/Pass,6605
324,Female,All,England,2018/19,Unclassified,5350
325,Female,All,Northern Ireland,2018/19,First class honours,1335
326,Female,All,Northern Ireland,2018/19,Upper second class honours,2615
327,Female,All,Northern Ireland,2018/19,Lower second class honours,715
328,Female,All,Northern Ireland,2018/19,Third class honours/Pass,85
329,Female,All,Northern Ireland,2018/19,Unclassified,165
330,Female,All,Scotland,2018/19,First class honours,3445
331,Female,All,Scotland,2018/19,Upper second class honours,7100
332,Female,All,Scotland,2018/19,Lower second class honours,2040
333,Female,All,Scotland,2018/19,Third class honours/Pass,350
334,Female,All,Scotland,2018/19,Unclassified,5880
335,Female,All,Wales,2018/19,First class honours,3150
336,Female,All,Wales,2018/19,Upper second class honours,4875
337,Female,All,Wales,2018/19,Lower second class honours,1805
338,Female,All,Wales,2018/19,Third class honours/Pass,305
339,Female,All,Wales,2018/19,Unclassified,270
340,Female,All,England,2019/20,First class honours,58375
341,Female,All,England,2019/20,Upper second class honours,76850
342,Female,All,England,2019/20,Lower second class honours,22210
343,Female,All,England,2019/20,Third class honours/Pass,4365
344,Female,All,England,2019/20,Unclassified,5305
345,Female,All,Northern Ireland,2019/20,First class honours,1520
346,Female,All,Northern Ireland,2019/20,Upper second class honours,2530
347,Female,All,Northern Ireland,2019/20,Lower second class honours,570
348,Female,All,Northern Ireland,2019/20,Third class honours/Pass,55
349,Female,All,Northern Ireland,2019/20,Unclassified,140
350,Female,All,Scotland,2019/20,First class honours,4380
351,Female,All,Scotland,2019/20,Upper second class honours,6820
352,Female,All,Scotland,2019/20,Lower second class honours,1435
353,Female,All,Scotland,2019/20,Third class honours/Pass,270
354,Female,All,Scotland,2019/20,Unclassified,4970
355,Female,All,Wales,2019/20,First class honours,3915
356,Female,All,Wales,2019/20,Upper second class honours,4730
357,Female,All,Wales,2019/20,Lower second class honours,1480
358,Female,All,Wales,2019/20,Third class honours/Pass,250
359,Female,All,Wales,2019/20,Unclassified,250
360,Female,All,All,2014/15,First class honours,39520
361,Female,All,All,2014/15,Upper second class honours,93750
362,Female,All,All,2014/15,Lower second class honours,37180
363,Female,All,All,2014/15,Third class honours/Pass,8160
364,Female,All,All,2014/15,Unclassified,12615
365,Female,All,All,2015/16,First class honours,43705
366,Female,All,All,2015/16,Upper second class honours,95330
367,Female,All,All,2015/16,Lower second class honours,36155
368,Female,All,All,2015/16,Third class honours/Pass,7970
369,Female,All,All,2015/16,Unclassified,12045
370,Female,All,All,2016/17,First class honours,49790
371,Female,All,All,2016/17,Upper second class honours,97040
372,Female,All,All,2016/17,Lower second class honours,34840
373,Female,All,All,2016/17,Third class honours/Pass,8275
374,Female,All,All,2016/17,Unclassified,11680
375,Female,All,All,2017/18,First class honours,54810
376,Female,All,All,2017/18,Upper second class honours,96655
377,Female,All,All,2017/18,Lower second class honours,33405
378,Female,All,All,2017/18,Third class honours/Pass,7710
379,Female,All,All,2017/18,Unclassified,11425
380,Female,All,All,2018/19,First class honours,57050
381,Female,All,All,2018/19,Upper second class honours,97270
382,Female,All,All,2018/19,Lower second class honours,33335
383,Female,All,All,2018/19,Third class honours/Pass,7345
384,Female,All,All,2018/19,Unclassified,11665
385,Female,All,All,2019/20,First class honours,68190
386,Female,All,All,2019/20,Upper second class honours,90935
387,Female,All,All,2019/20,Lower second class honours,25700
388,Female,All,All,2019/20,Third class honours/Pass,4940
389,Female,All,All,2019/20,Unclassified,10660
390,Female,Full-time,All,2014/15,First class honours,36520
391,Female,Full-time,All,2014/15,Upper second class honours,86810
392,Female,Full-time,All,2014/15,Lower second class honours,31665
393,Female,Full-time,All,2014/15,Third class honours/Pass,5325
394,Female,Full-time,All,2014/15,Unclassified,9965
395,Female,Full-time,All,2015/16,First class honours,40970
396,Female,Full-time,All,2015/16,Upper second class honours,89200
397,Female,Full-time,All,2015/16,Lower second class honours,31240
398,Female,Full-time,All,2015/16,Third class honours/Pass,5305
399,Female,Full-time,All,2015/16,Unclassified,9915
400,Female,Full-time,All,2016/17,First class honours,46960
401,Female,Full-time,All,2016/17,Upper second class honours,91140
402,Female,Full-time,All,2016/17,Lower second class honours,30095
403,Female,Full-time,All,2016/17,Third class honours/Pass,5630
404,Female,Full-time,All,2016/17,Unclassified,9770
405,Female,Full-time,All,2017/18,First class honours,52290
406,Female,Full-time,All,2017/18,Upper second class honours,91940
407,Female,Full-time,All,2017/18,Lower second class honours,29450
408,Female,Full-time,All,2017/18,Third class honours/Pass,5295
409,Female,Full-time,All,2017/18,Unclassified,9845
410,Female,Full-time,All,2018/19,First class honours,54405
411,Female,Full-time,All,2018/19,Upper second class honours,92250
412,Female,Full-time,All,2018/19,Lower second class honours,29660
413,Female,Full-time,All,2018/19,Third class honours/Pass,5270
414,Female,Full-time,All,2018/19,Unclassified,10110
415,Female,Full-time,All,2019/20,First class honours,66150
416,Female,Full-time,All,2019/20,Upper second class honours,87945
417,Female,Full-time,All,2019/20,Lower second class honours,23460
418,Female,Full-time,All,2019/20,Third class honours/Pass,3675
419,Female,Full-time,All,2019/20,Unclassified,9490
420,Female,Part-time,All,2014/15,First class honours,3000
